model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_fp32_hq.engine,640,MOT17-09,10.3,97.08,99.62,85.09,1175.1,5.9,0.703,0.612,41,1.577,0.5,0.115
yolo26n_fp32_hq.engine,640,MOT17-02,10.2,98.0,100.42,84.65,1164.2,7.5,0.231,0.413,20,0.377,0.132,0.019
yolo26n_fp32_hq.engine,640,MOT17-04,10.1,99.18,103.25,84.76,1158.9,9.3,0.2,0.282,47,0.595,0.063,0.076
yolo26s_fp32_hq.engine,640,MOT17-09,5.2,191.44,194.53,177.99,1162.5,7.5,0.711,0.665,32,1.231,0.808,0.038
yolo26s_fp32_hq.engine,640,MOT17-02,5.2,192.8,196.06,177.8,1160.5,9.5,0.329,0.523,26,0.491,0.264,0.057
yolo26s_fp32_hq.engine,640,MOT17-04,5.1,197.66,200.99,177.84,1152.3,16.2,0.364,0.498,42,0.532,0.139,0.038
yolo26m_fp32_hq.engine,640,MOT17-09,2.2,446.97,449.75,433.45,1154.9,7.7,0.727,0.679,27,1.038,0.808,0.0
yolo26m_fp32_hq.engine,640,MOT17-02,2.2,449.27,452.45,434.08,1159.5,9.5,0.433,0.574,32,0.604,0.264,0.038
yolo26m_fp32_hq.engine,640,MOT17-04,2.2,455.65,459.1,434.38,1160.0,18.6,0.384,0.53,41,0.519,0.165,0.051
yolo26n_fp32_576_hq.engine,576,MOT17-09,11.5,86.86,91.19,75.48,1151.9,5.7,0.696,0.654,39,1.5,0.5,0.115
yolo26n_fp32_576_hq.engine,576,MOT17-02,11.4,88.02,92.31,75.42,1165.4,6.8,0.221,0.405,16,0.302,0.113,0.038
yolo26n_fp32_576_hq.engine,576,MOT17-04,11.3,88.77,93.24,75.62,1165.3,8.0,0.171,0.232,37,0.468,0.038,0.025
yolo26s_fp32_576_hq.engine,576,MOT17-09,6.1,164.7,169.51,151.88,1155.2,7.0,0.701,0.677,42,1.615,0.731,0.0
yolo26s_fp32_576_hq.engine,576,MOT17-02,6.0,165.67,170.8,151.67,1158.7,8.5,0.306,0.499,29,0.547,0.226,0.113
yolo26s_fp32_576_hq.engine,576,MOT17-04,5.9,168.39,173.03,151.37,1154.8,14.1,0.318,0.417,50,0.633,0.114,0.025
yolo26m_fp32_576_hq.engine,576,MOT17-09,2.7,376.83,380.18,363.55,1153.3,7.6,0.718,0.678,24,0.923,0.769,0.0
yolo26m_fp32_576_hq.engine,576,MOT17-02,2.6,378.86,383.93,364.06,1151.3,9.3,0.427,0.529,46,0.868,0.264,0.057
yolo26m_fp32_576_hq.engine,576,MOT17-04,2.6,382.51,386.79,363.83,1163.3,15.0,0.326,0.47,28,0.354,0.139,0.038
