model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_fp16_640_ncnn_model,640,MOT17-09,13.1,76.21,78.26,76.21,425.4,8.9,0.495,0.588,54,2.077,0.692,0.0
yolo26n_fp16_640_ncnn_model,640,MOT17-02,13.1,76.29,77.66,76.29,425.4,8.2,0.335,0.448,42,0.792,0.226,0.151
yolo26n_fp16_640_ncnn_model,640,MOT17-04,13.1,76.53,79.29,76.53,425.4,12.9,0.285,0.392,60,0.759,0.101,0.114
yolo26n_fp16_576_ncnn_model,576,MOT17-09,16.7,59.94,61.69,59.94,425.4,8.2,0.561,0.581,55,2.115,0.692,0.038
yolo26n_fp16_576_ncnn_model,576,MOT17-02,16.8,59.44,61.52,59.44,425.4,7.8,0.307,0.451,42,0.792,0.208,0.038
yolo26n_fp16_576_ncnn_model,576,MOT17-04,16.7,59.87,61.29,59.87,425.4,11.6,0.252,0.34,54,0.684,0.101,0.063
yolo26s_fp16_640_ncnn_model,640,MOT17-09,5.5,180.97,185.51,180.97,425.4,9.3,0.53,0.607,29,1.115,0.769,0.0
yolo26s_fp16_640_ncnn_model,640,MOT17-02,5.5,180.88,186.37,180.88,425.4,10.7,0.346,0.503,43,0.811,0.283,0.057
yolo26s_fp16_640_ncnn_model,640,MOT17-04,5.5,181.5,186.29,181.5,425.4,15.4,0.344,0.433,75,0.949,0.139,0.063
yolo26s_fp16_576_ncnn_model,576,MOT17-09,7.1,140.97,144.24,140.97,425.4,9.4,0.518,0.606,42,1.615,0.846,0.0
yolo26s_fp16_576_ncnn_model,576,MOT17-02,7.1,141.14,145.18,141.14,425.4,9.5,0.347,0.503,53,1.0,0.283,0.132
yolo26s_fp16_576_ncnn_model,576,MOT17-04,7.1,141.52,145.15,141.52,425.4,13.9,0.303,0.409,54,0.684,0.127,0.076
yolo26m_fp16_640_ncnn_model,640,MOT17-09,1.8,549.69,565.28,549.69,425.4,9.3,0.533,0.586,27,1.038,0.808,0.077
yolo26m_fp16_640_ncnn_model,640,MOT17-02,1.8,553.07,568.58,553.07,425.4,11.4,0.386,0.546,65,1.226,0.283,0.189
yolo26m_fp16_640_ncnn_model,640,MOT17-04,1.8,552.44,566.98,552.44,425.4,15.5,0.353,0.487,44,0.557,0.139,0.051
yolo26m_fp16_576_ncnn_model,576,MOT17-09,2.3,432.79,441.61,432.79,425.4,9.2,0.55,0.592,32,1.231,0.808,0.0
yolo26m_fp16_576_ncnn_model,576,MOT17-02,2.3,429.19,442.09,429.19,425.4,10.4,0.423,0.563,37,0.698,0.264,0.019
yolo26m_fp16_576_ncnn_model,576,MOT17-04,2.3,435.42,450.68,435.42,425.4,13.9,0.308,0.415,55,0.696,0.114,0.013
