model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_int8_640_ncnn_model,640,MOT17-09,12.3,81.63,93.23,81.63,424.7,8.4,0.495,0.571,48,1.846,0.692,0.115
yolo26n_int8_640_ncnn_model,640,MOT17-02,12.1,82.32,95.87,82.32,425.4,6.8,0.298,0.375,58,1.094,0.208,0.094
yolo26n_int8_640_ncnn_model,640,MOT17-04,12.2,82.22,92.61,82.22,425.4,13.6,0.307,0.397,68,0.861,0.101,0.076
yolo26n_int8_576_ncnn_model,576,MOT17-09,15.3,65.38,68.58,65.38,425.4,7.4,0.55,0.569,62,2.385,0.654,0.115
yolo26n_int8_576_ncnn_model,576,MOT17-02,15.4,65.13,69.32,65.13,425.4,6.6,0.286,0.405,42,0.792,0.208,0.019
yolo26n_int8_576_ncnn_model,576,MOT17-04,15.1,66.16,77.17,66.16,425.4,12.6,0.284,0.367,69,0.873,0.089,0.063
yolo26s_int8_640_ncnn_model,640,MOT17-09,6.0,165.29,181.72,165.29,425.4,8.2,0.652,0.616,58,2.231,0.769,0.077
yolo26s_int8_640_ncnn_model,640,MOT17-02,6.1,165.23,182.47,165.23,425.4,8.9,0.319,0.492,35,0.66,0.226,0.094
yolo26s_int8_640_ncnn_model,640,MOT17-04,6.0,167.02,191.09,167.02,425.4,16.8,0.352,0.443,94,1.19,0.139,0.051
yolo26s_int8_576_ncnn_model,576,MOT17-09,7.5,133.19,151.95,133.19,425.4,7.9,0.644,0.616,47,1.808,0.769,0.038
yolo26s_int8_576_ncnn_model,576,MOT17-02,7.3,136.38,153.71,136.38,425.4,7.8,0.314,0.47,36,0.679,0.208,0.132
yolo26s_int8_576_ncnn_model,576,MOT17-04,7.3,136.21,157.05,136.21,425.4,12.4,0.27,0.37,56,0.709,0.101,0.076
yolo26m_int8_640_ncnn_model,640,MOT17-09,2.7,371.06,391.74,371.06,425.4,8.3,0.649,0.652,33,1.269,0.769,0.038
yolo26m_int8_640_ncnn_model,640,MOT17-02,2.7,370.61,391.8,370.61,425.4,8.9,0.411,0.55,32,0.604,0.264,0.113
yolo26m_int8_640_ncnn_model,640,MOT17-04,2.7,372.6,395.53,372.6,425.3,15.0,0.34,0.425,70,0.886,0.139,0.038
yolo26m_int8_576_ncnn_model,576,MOT17-09,3.4,297.85,318.88,297.85,425.3,8.4,0.595,0.65,31,1.192,0.769,0.0
yolo26m_int8_576_ncnn_model,576,MOT17-02,3.3,298.77,320.41,298.77,425.4,8.4,0.405,0.51,34,0.642,0.245,0.075
yolo26m_int8_576_ncnn_model,576,MOT17-04,3.4,297.82,320.79,297.82,425.3,13.5,0.309,0.425,43,0.544,0.127,0.013
