frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1337.66259765625, 419.38104248046875, 1509.907470703125, 791.9796752929688], [437.27593994140625, 443.7057800292969, 551.2696533203125, 723.599609375], [582.2562255859375, 445.3859558105469, 673.5408935546875, 708.8385009765625], [1446.4913330078125, 434.892822265625, 1601.992919921875, 765.9947509765625], [731.5159912109375, 476.5443420410156, 766.3138427734375, 567.674072265625], [938.0451049804688, 434.607177734375, 973.629638671875, 514.4776611328125], [1255.8946533203125, 446.6155090332031, 1293.3885498046875, 545.7097778320312], [1013.2843627929688, 432.0317077636719, 1059.1578369140625, 527.6027221679688], [975.09814453125, 458.96795654296875, 1007.4205322265625, 511.57745361328125]]","[0.8969404697418213, 0.8645284175872803, 0.856270432472229, 0.7808066606521606, 0.5613625049591064, 0.5280497670173645, 0.4978802502155304, 0.4057275950908661, 0.37511923909187317]","[[1423.7850341796875, 791.9796752929688], [494.2727966308594, 723.599609375], [627.8985595703125, 708.8385009765625], [1524.2421264648438, 765.9947509765625], [748.9149169921875, 567.674072265625], [955.8373718261719, 514.4776611328125], [1274.6416015625, 545.7097778320312], [1036.2210998535156, 527.6027221679688], [991.2593383789062, 511.57745361328125]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
2,,,9,"[1, 3, 2, 4, 5, 7, 8, 6, 9]","[[1342.989013671875, 440.8352355957031, 1515.536865234375, 790.6480712890625], [582.7536010742188, 445.8995361328125, 675.1331176757812, 708.94091796875], [438.0458984375, 444.2225646972656, 557.438720703125, 723.5237426757812], [1451.6981201171875, 431.8197021484375, 1601.973876953125, 767.893310546875], [731.9158325195312, 475.51953125, 766.263427734375, 567.64111328125], [1256.5052490234375, 447.1191101074219, 1293.968017578125, 545.5665893554688], [1010.740234375, 431.79144287109375, 1059.689453125, 529.8169555664062], [937.7554321289062, 435.0036315917969, 972.5978393554688, 514.999267578125], [975.3491821289062, 459.0653076171875, 1007.0438232421875, 510.34588623046875]]","[0.8931712508201599, 0.854258120059967, 0.8495848774909973, 0.7489859461784363, 0.6177637577056885, 0.5227539539337158, 0.45261484384536743, 0.45212510228157043, 0.3227617144584656]","[[1429.262939453125, 790.6480712890625], [628.943359375, 708.94091796875], [497.7423095703125, 723.5237426757812], [1526.8359985351562, 767.893310546875], [749.0896301269531, 567.64111328125], [1275.2366333007812, 545.5665893554688], [1035.21484375, 529.8169555664062], [955.1766357421875, 514.999267578125], [991.1965026855469, 510.34588623046875]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
3,,,9,"[1, 3, 2, 4, 5, 7, 6, 9, 8]","[[1344.8671875, 433.9944763183594, 1526.13671875, 798.3140869140625], [582.2850341796875, 445.3029479980469, 675.944091796875, 709.1246948242188], [438.3213806152344, 444.9040222167969, 558.44970703125, 723.0913696289062], [1460.51806640625, 431.3592224121094, 1609.2481689453125, 769.83642578125], [731.9808959960938, 475.4014587402344, 766.8912353515625, 567.1360473632812], [1256.5595703125, 446.9828796386719, 1294.086181640625, 545.2469482421875], [937.352783203125, 434.5542907714844, 972.6676025390625, 515.0303955078125], [977.6760864257812, 458.8644104003906, 1006.9159545898438, 510.81011962890625], [1011.5958251953125, 430.6061096191406, 1060.38671875, 528.3330688476562]]","[0.886928915977478, 0.8658310174942017, 0.8362786769866943, 0.776156485080719, 0.6773929595947266, 0.49945855140686035, 0.4840252101421356, 0.45425793528556824, 0.3642796277999878]","[[1435.501953125, 798.3140869140625], [629.1145629882812, 709.1246948242188], [498.3855438232422, 723.0913696289062], [1534.8831176757812, 769.83642578125], [749.4360656738281, 567.1360473632812], [1275.3228759765625, 545.2469482421875], [955.0101928710938, 515.0303955078125], [992.2960205078125, 510.81011962890625], [1035.9912719726562, 528.3330688476562]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
4,,,8,"[1, 3, 2, 4, 5, 8, 6, 7]","[[1350.08544921875, 420.447509765625, 1527.028564453125, 800.1972045898438], [582.5861206054688, 447.10400390625, 675.879150390625, 709.4036254882812], [440.4814147949219, 446.4261474609375, 560.258056640625, 723.0101318359375], [1484.055419921875, 430.2220153808594, 1609.3812255859375, 769.908447265625], [731.5592041015625, 476.8772277832031, 767.1134033203125, 566.8126831054688], [1011.1343994140625, 431.2534484863281, 1060.421630859375, 527.4471435546875], [936.9864501953125, 434.8560485839844, 974.0555419921875, 515.2412719726562], [1256.5189208984375, 446.5925598144531, 1293.1990966796875, 544.20703125]]","[0.9345362782478333, 0.866895318031311, 0.8178560733795166, 0.7850164175033569, 0.6925646066665649, 0.5246543884277344, 0.5133935213088989, 0.4817819595336914]","[[1438.5570068359375, 800.1972045898438], [629.2326354980469, 709.4036254882812], [500.36973571777344, 723.0101318359375], [1546.7183227539062, 769.908447265625], [749.3363037109375, 566.8126831054688], [1035.7780151367188, 527.4471435546875], [955.52099609375, 515.2412719726562], [1274.8590087890625, 544.20703125]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
5,,,9,"[1, 3, 4, 2, 5, 6, 8, 7, 9]","[[1355.090576171875, 418.57904052734375, 1531.5850830078125, 799.0210571289062], [582.670654296875, 446.1312255859375, 676.112548828125, 709.2899169921875], [1482.1900634765625, 427.5068054199219, 1619.287841796875, 770.3302001953125], [438.9768371582031, 447.3501281738281, 560.1952514648438, 723.7235717773438], [731.40380859375, 476.5511474609375, 767.0587768554688, 568.2630615234375], [937.1263427734375, 434.868896484375, 973.0087280273438, 515.1380004882812], [1010.8478393554688, 431.2688293457031, 1060.289794921875, 527.1340942382812], [1256.3218994140625, 446.8593444824219, 1293.3565673828125, 543.4603271484375], [978.5361328125, 459.9513854980469, 1008.018798828125, 510.8798828125]]","[0.9129425287246704, 0.8628556132316589, 0.8453640937805176, 0.8323554992675781, 0.7325567007064819, 0.551255464553833, 0.5233045220375061, 0.4890506863594055, 0.4881497323513031]","[[1443.3378295898438, 799.0210571289062], [629.3916015625, 709.2899169921875], [1550.7389526367188, 770.3302001953125], [499.58604431152344, 723.7235717773438], [749.2312927246094, 568.2630615234375], [955.0675354003906, 515.1380004882812], [1035.5688171386719, 527.1340942382812], [1274.8392333984375, 543.4603271484375], [993.2774658203125, 510.8798828125]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
6,,,10,"[1, 3, 4, 5, 2, 6, 8, 7, 9, 10]","[[1361.3758544921875, 417.7406005859375, 1536.201904296875, 799.6160888671875], [582.2042846679688, 446.04931640625, 676.5372314453125, 709.1605224609375], [1489.617431640625, 424.6282653808594, 1627.4830322265625, 770.8633422851562], [731.7295532226562, 475.9580078125, 767.309814453125, 566.9752807617188], [438.4192810058594, 445.0241394042969, 563.0475463867188, 724.1697998046875], [936.5045776367188, 434.5981750488281, 972.786865234375, 514.651611328125], [1011.4010620117188, 431.51043701171875, 1059.7440185546875, 526.4307861328125], [1256.665771484375, 447.01812744140625, 1292.48876953125, 544.229736328125], [978.5797119140625, 457.7105712890625, 1008.92138671875, 511.8702392578125], [651.4824829101562, 453.6278991699219, 717.5247192382812, 642.4008178710938]]","[0.9258720278739929, 0.8723121285438538, 0.8586424589157104, 0.7009270191192627, 0.5887706875801086, 0.5700567364692688, 0.4947972297668457, 0.48648563027381897, 0.47463640570640564, 0.3786866068840027]","[[1448.7888793945312, 799.6160888671875], [629.3707580566406, 709.1605224609375], [1558.5502319335938, 770.8633422851562], [749.5196838378906, 566.9752807617188], [500.73341369628906, 724.1697998046875], [954.6457214355469, 514.651611328125], [1035.5725402832031, 526.4307861328125], [1274.5772705078125, 544.229736328125], [993.7505493164062, 511.8702392578125], [684.5036010742188, 642.4008178710938]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
7,,,8,"[1, 3, 4, 2, 5, 6, 8, 7]","[[1374.1614990234375, 418.3506774902344, 1532.7672119140625, 799.2391357421875], [581.4435424804688, 444.462890625, 676.6299438476562, 709.0454711914062], [1493.8062744140625, 429.7579345703125, 1632.07958984375, 770.4453735351562], [440.7419128417969, 444.2096862792969, 563.1642456054688, 724.0989990234375], [731.7313842773438, 477.2298889160156, 767.306640625, 567.777099609375], [936.2554931640625, 434.8106689453125, 971.5243530273438, 514.45654296875], [1010.5678100585938, 432.08837890625, 1060.2845458984375, 527.9888305664062], [1256.6204833984375, 446.9708557128906, 1292.5645751953125, 545.1573486328125]]","[0.898881733417511, 0.8671079874038696, 0.8455241322517395, 0.7527673244476318, 0.7195093035697937, 0.580869197845459, 0.5417365431785583, 0.5050984025001526]","[[1453.46435546875, 799.2391357421875], [629.0367431640625, 709.0454711914062], [1562.9429321289062, 770.4453735351562], [501.9530792236328, 724.0989990234375], [749.5190124511719, 567.777099609375], [953.8899230957031, 514.45654296875], [1035.4261779785156, 527.9888305664062], [1274.592529296875, 545.1573486328125]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
8,,,10,"[1, 4, 3, 2, 5, 7, 6, 8, 10, 9]","[[1387.6124267578125, 414.043701171875, 1533.662841796875, 799.3749389648438], [1496.3953857421875, 427.0594482421875, 1638.7752685546875, 769.9378051757812], [581.5205688476562, 445.2273864746094, 677.33447265625, 709.0704345703125], [440.7409973144531, 446.29339599609375, 566.8428955078125, 724.6049194335938], [731.7657470703125, 476.22540283203125, 767.4310913085938, 568.267333984375], [1255.8565673828125, 447.2772521972656, 1292.7271728515625, 545.29052734375], [935.7103271484375, 434.68701171875, 970.4193725585938, 514.2667846679688], [1008.2129516601562, 432.5836181640625, 1059.54736328125, 527.9486083984375], [652.8583374023438, 451.3448791503906, 721.9928588867188, 645.2257080078125], [980.4365844726562, 452.2623291015625, 1011.646484375, 512.50390625]]","[0.896935224533081, 0.8741772770881653, 0.8588044047355652, 0.7907914519309998, 0.6738195419311523, 0.544231116771698, 0.5269190669059753, 0.39438408613204956, 0.2813390791416168, 0.26136571168899536]","[[1460.6376342773438, 799.3749389648438], [1567.5853271484375, 769.9378051757812], [629.4275207519531, 709.0704345703125], [503.7919464111328, 724.6049194335938], [749.5984191894531, 568.267333984375], [1274.2918701171875, 545.29052734375], [953.0648498535156, 514.2667846679688], [1033.8801574707031, 527.9486083984375], [687.4255981445312, 645.2257080078125], [996.0415344238281, 512.50390625]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
9,,,9,"[1, 3, 4, 2, 5, 6, 8, 10, 7]","[[1403.324462890625, 419.5014953613281, 1539.44384765625, 800.5791015625], [582.674072265625, 444.58026123046875, 676.5103759765625, 709.3025512695312], [1495.728759765625, 424.19134521484375, 1647.7208251953125, 770.5632934570312], [438.3707580566406, 444.5933532714844, 567.2955932617188, 724.7429809570312], [731.4032592773438, 474.0789794921875, 766.4183959960938, 567.9004516601562], [935.2493286132812, 434.81805419921875, 969.4122924804688, 515.0512084960938], [1009.193115234375, 432.78826904296875, 1058.8299560546875, 526.1469116210938], [650.9458618164062, 452.4112548828125, 722.0900268554688, 647.195556640625], [1255.1572265625, 446.13525390625, 1293.2840576171875, 546.0103759765625]]","[0.9085606932640076, 0.8607555031776428, 0.825836181640625, 0.7890119552612305, 0.6269683241844177, 0.5524857044219971, 0.547069251537323, 0.41827335953712463, 0.37243300676345825]","[[1471.3841552734375, 800.5791015625], [629.5922241210938, 709.3025512695312], [1571.7247924804688, 770.5632934570312], [502.8331756591797, 724.7429809570312], [748.9108276367188, 567.9004516601562], [952.330810546875, 515.0512084960938], [1034.0115356445312, 526.1469116210938], [686.5179443359375, 647.195556640625], [1274.2206420898438, 546.0103759765625]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
10,,,9,"[2, 1, 3, 4, 5, 6, 10, 7, 8]","[[436.817626953125, 445.72540283203125, 568.817138671875, 725.0435180664062], [1416.6131591796875, 409.006103515625, 1539.6851806640625, 800.8717041015625], [582.99560546875, 444.3922119140625, 677.7479858398438, 709.2697143554688], [1518.2191162109375, 424.27935791015625, 1657.2750244140625, 770.85107421875], [730.6590576171875, 464.3703918457031, 766.8238525390625, 570.5125732421875], [934.015380859375, 434.57330322265625, 970.0131225585938, 515.31298828125], [654.0855712890625, 453.6048278808594, 719.1824951171875, 648.94482421875], [1255.262939453125, 447.43035888671875, 1294.2908935546875, 545.9111328125], [1008.9307250976562, 432.6053771972656, 1059.2396240234375, 527.2473754882812]]","[0.8759182691574097, 0.8672828674316406, 0.8633796572685242, 0.7332690954208374, 0.6274634003639221, 0.5440177321434021, 0.4928112328052521, 0.47683972120285034, 0.42854565382003784]","[[502.8173828125, 725.0435180664062], [1478.149169921875, 800.8717041015625], [630.3717956542969, 709.2697143554688], [1587.7470703125, 770.85107421875], [748.741455078125, 570.5125732421875], [952.0142517089844, 515.31298828125], [686.634033203125, 648.94482421875], [1274.7769165039062, 545.9111328125], [1034.0851745605469, 527.2473754882812]]",1151295488,1138757632,1151295488,576,yolo26m_fp32_576_hq.engine,MOT17-02
