frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1338.4224853515625, 426.66192626953125, 1507.822998046875, 790.718505859375], [1445.5223388671875, 431.07000732421875, 1601.6121826171875, 766.4183349609375], [581.6263427734375, 448.742919921875, 673.4765625, 708.42578125], [435.8269958496094, 442.8214111328125, 553.306396484375, 724.7781372070312], [729.7205810546875, 466.4267272949219, 767.1640625, 568.2640380859375], [935.8623046875, 436.3431091308594, 973.0552978515625, 514.2119140625], [1254.9837646484375, 445.3778076171875, 1295.98486328125, 546.1229248046875], [1690.759765625, 435.87493896484375, 1789.4945068359375, 586.290771484375], [1006.0563354492188, 433.1510314941406, 1064.698486328125, 529.1106567382812]]","[0.9024041295051575, 0.8539595007896423, 0.8354787826538086, 0.8156300187110901, 0.6040212512016296, 0.539463996887207, 0.4599224328994751, 0.3568173050880432, 0.3535524010658264]","[[1423.1227416992188, 790.718505859375], [1523.5672607421875, 766.4183349609375], [627.5514526367188, 708.42578125], [494.5666961669922, 724.7781372070312], [748.4423217773438, 568.2640380859375], [954.4588012695312, 514.2119140625], [1275.4843139648438, 546.1229248046875], [1740.1271362304688, 586.290771484375], [1035.3774108886719, 529.1106567382812]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
2,,,9,"[1, 3, 4, 2, 6, 7, 9, 5, 8]","[[1341.989990234375, 430.291015625, 1516.4969482421875, 792.0940551757812], [582.0226440429688, 448.20892333984375, 677.3612670898438, 707.8798828125], [438.6420593261719, 442.6805114746094, 557.9473876953125, 724.1436157226562], [1454.9112548828125, 432.15167236328125, 1599.6119384765625, 767.9178466796875], [934.6096801757812, 436.14862060546875, 973.2542724609375, 514.3959350585938], [1255.4239501953125, 446.2739562988281, 1295.91015625, 546.0767822265625], [1006.41162109375, 430.4556884765625, 1066.952880859375, 529.9143676757812], [730.5419311523438, 465.99578857421875, 768.1904296875, 567.985595703125], [1691.076416015625, 432.3115234375, 1789.054443359375, 585.15380859375]]","[0.8957751989364624, 0.8288189768791199, 0.7864280939102173, 0.6028375029563904, 0.5219271183013916, 0.5211749076843262, 0.5102179050445557, 0.48591673374176025, 0.43187639117240906]","[[1429.2434692382812, 792.0940551757812], [629.6919555664062, 707.8798828125], [498.2947235107422, 724.1436157226562], [1527.2615966796875, 767.9178466796875], [953.9319763183594, 514.3959350585938], [1275.6670532226562, 546.0767822265625], [1036.6822509765625, 529.9143676757812], [749.3661804199219, 567.985595703125], [1740.0654296875, 585.15380859375]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
3,,,11,"[1, 3, 2, 4, 5, 7, 6, 9, 8, 11, 10]","[[1344.060302734375, 425.59344482421875, 1522.6092529296875, 799.0513305664062], [581.4606323242188, 447.1200866699219, 677.02490234375, 708.1275634765625], [1462.8782958984375, 430.4441833496094, 1610.717041015625, 770.1818237304688], [433.09930419921875, 442.6765441894531, 559.2172241210938, 724.7478637695312], [731.3690795898438, 478.9446716308594, 768.5015869140625, 568.3646850585938], [1255.736083984375, 446.4006042480469, 1296.162353515625, 545.782470703125], [935.1563720703125, 436.2156066894531, 971.4662475585938, 515.099609375], [1006.610595703125, 431.55975341796875, 1065.3802490234375, 528.9071655273438], [1689.16162109375, 431.1405029296875, 1788.374267578125, 585.99951171875], [1078.2591552734375, 448.672607421875, 1137.224609375, 598.2240600585938], [910.6231689453125, 461.6005554199219, 1015.5283813476562, 586.8311157226562]]","[0.8981793522834778, 0.8294647932052612, 0.7979302406311035, 0.7776750326156616, 0.5758672952651978, 0.5501091480255127, 0.5373481512069702, 0.524215579032898, 0.4210842549800873, 0.38030576705932617, 0.35118913650512695]","[[1433.3347778320312, 799.0513305664062], [629.2427673339844, 708.1275634765625], [1536.7976684570312, 770.1818237304688], [496.15826416015625, 724.7478637695312], [749.9353332519531, 568.3646850585938], [1275.94921875, 545.782470703125], [953.3113098144531, 515.099609375], [1035.9954223632812, 528.9071655273438], [1738.7679443359375, 585.99951171875], [1107.7418823242188, 598.2240600585938], [963.0757751464844, 586.8311157226562]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
4,,,10,"[1, 4, 2, 3, 5, 7, 9, 6, 8, 11]","[[1348.6036376953125, 419.196044921875, 1527.3857421875, 800.8756713867188], [436.16595458984375, 443.1553955078125, 563.570556640625, 724.5203857421875], [1476.23828125, 427.63519287109375, 1613.349853515625, 767.8598022460938], [581.6519775390625, 449.1025695800781, 676.1031494140625, 708.0034790039062], [731.892578125, 474.62939453125, 768.915771484375, 568.5247192382812], [1255.7730712890625, 447.02734375, 1296.0045166015625, 545.9921264648438], [1005.8692016601562, 429.9866638183594, 1065.089599609375, 529.1527709960938], [935.0943603515625, 436.1694641113281, 971.0667724609375, 515.78173828125], [1689.868408203125, 429.62603759765625, 1789.5142822265625, 586.6829833984375], [1077.6551513671875, 448.7718505859375, 1137.994140625, 597.7679443359375]]","[0.8765034675598145, 0.8618439435958862, 0.8340515494346619, 0.8233746290206909, 0.6057195663452148, 0.5784189105033875, 0.5563769936561584, 0.5223333239555359, 0.40320098400115967, 0.3163391351699829]","[[1437.9946899414062, 800.8756713867188], [499.8682556152344, 724.5203857421875], [1544.7940673828125, 767.8598022460938], [628.8775634765625, 708.0034790039062], [750.4041748046875, 568.5247192382812], [1275.8887939453125, 545.9921264648438], [1035.4794006347656, 529.1527709960938], [953.08056640625, 515.78173828125], [1739.6913452148438, 586.6829833984375], [1107.8246459960938, 597.7679443359375]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
5,,,10,"[1, 3, 2, 4, 5, 7, 9, 6, 8, 11]","[[1352.03125, 417.4270935058594, 1530.4356689453125, 801.5709228515625], [582.1497192382812, 447.7791748046875, 675.3309326171875, 707.6529541015625], [1485.0853271484375, 426.39984130859375, 1619.828125, 767.1089477539062], [436.11810302734375, 443.9012756347656, 564.593505859375, 724.1773681640625], [731.51611328125, 472.90167236328125, 769.2579345703125, 567.7682495117188], [1255.661376953125, 447.60699462890625, 1296.134765625, 546.11376953125], [1006.2012939453125, 430.6716613769531, 1065.331298828125, 529.9578857421875], [934.804443359375, 436.0923156738281, 971.77880859375, 515.9320678710938], [1687.3487548828125, 429.08740234375, 1789.5947265625, 586.1373291015625], [1075.30810546875, 448.57794189453125, 1137.6353759765625, 598.268310546875]]","[0.8767088651657104, 0.816675066947937, 0.8135498762130737, 0.6214935779571533, 0.6174731850624084, 0.5924267172813416, 0.5679665207862854, 0.540955126285553, 0.43389758467674255, 0.361240416765213]","[[1441.2334594726562, 801.5709228515625], [628.7403259277344, 707.6529541015625], [1552.4567260742188, 767.1089477539062], [500.3558044433594, 724.1773681640625], [750.3870239257812, 567.7682495117188], [1275.8980712890625, 546.11376953125], [1035.7662963867188, 529.9578857421875], [953.2916259765625, 515.9320678710938], [1738.4717407226562, 586.1373291015625], [1106.4717407226562, 598.268310546875]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
6,,,9,"[1, 3, 5, 4, 9, 7, 6, 8, 11]","[[1359.9111328125, 417.2777404785156, 1530.82275390625, 801.9614868164062], [582.752685546875, 447.3133239746094, 675.7068481445312, 707.6287231445312], [731.4559936523438, 473.7962646484375, 768.9866943359375, 566.6845703125], [435.3168640136719, 443.3377380371094, 566.5825805664062, 725.0187377929688], [1006.710205078125, 430.4501037597656, 1066.17041015625, 529.558349609375], [1255.7821044921875, 448.19482421875, 1295.611572265625, 545.978515625], [934.4871826171875, 435.84600830078125, 971.7863159179688, 516.1782836914062], [1691.73388671875, 431.4516906738281, 1788.875732421875, 585.984619140625], [1075.4659423828125, 448.4642028808594, 1137.600830078125, 597.8314208984375]]","[0.8725748062133789, 0.835030198097229, 0.6026194095611572, 0.5850958228111267, 0.5591069459915161, 0.5570199489593506, 0.5504915118217468, 0.4262058734893799, 0.2680245637893677]","[[1445.366943359375, 801.9614868164062], [629.2297668457031, 707.6287231445312], [750.2213439941406, 566.6845703125], [500.94972229003906, 725.0187377929688], [1036.4403076171875, 529.558349609375], [1275.6968383789062, 545.978515625], [953.1367492675781, 516.1782836914062], [1740.3048095703125, 585.984619140625], [1106.5333862304688, 597.8314208984375]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
7,,,10,"[1, 4, 3, 2, 5, 6, 7, 8, 11, 9]","[[1371.9942626953125, 414.8934020996094, 1533.445556640625, 801.2263793945312], [434.4954528808594, 443.23046875, 569.5164184570312, 726.9891967773438], [582.3448486328125, 445.0895690917969, 677.0903930664062, 708.038818359375], [1492.2431640625, 424.7154541015625, 1632.271728515625, 770.9384765625], [731.3832397460938, 472.8665771484375, 768.956298828125, 568.7425537109375], [934.2240600585938, 435.9697570800781, 970.9736938476562, 516.6834716796875], [1255.615234375, 446.34808349609375, 1295.9857177734375, 545.805908203125], [1689.75732421875, 429.6576843261719, 1789.192138671875, 584.4089965820312], [1076.226318359375, 446.7572326660156, 1137.65087890625, 598.3468017578125], [1006.665283203125, 433.860107421875, 1064.5816650390625, 529.0930786132812]]","[0.9110423922538757, 0.8799623250961304, 0.8419312238693237, 0.6762293577194214, 0.6169187426567078, 0.5977335572242737, 0.5450478196144104, 0.4897482693195343, 0.4319489598274231, 0.4130474925041199]","[[1452.7199096679688, 801.2263793945312], [502.0059356689453, 726.9891967773438], [629.7176208496094, 708.038818359375], [1562.2574462890625, 770.9384765625], [750.1697692871094, 568.7425537109375], [952.598876953125, 516.6834716796875], [1275.8004760742188, 545.805908203125], [1739.4747314453125, 584.4089965820312], [1106.9385986328125, 598.3468017578125], [1035.6234741210938, 529.0930786132812]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
8,,,10,"[4, 3, 1, 6, 5, 7, 11, 2, 8, 9]","[[434.97979736328125, 446.89654541015625, 570.247802734375, 726.4170532226562], [581.4392700195312, 444.9882507324219, 678.22900390625, 708.9762573242188], [1386.6905517578125, 414.14178466796875, 1532.2833251953125, 800.1220092773438], [934.76220703125, 435.6622619628906, 970.9238891601562, 515.7653198242188], [730.94140625, 469.8569030761719, 769.3564453125, 568.4855346679688], [1255.087158203125, 446.3221740722656, 1295.3157958984375, 545.7568359375], [1073.712646484375, 448.22149658203125, 1136.6474609375, 598.1304321289062], [1497.156982421875, 423.2699279785156, 1640.7744140625, 771.07861328125], [1686.6749267578125, 430.9025573730469, 1788.884521484375, 584.55859375], [1013.904052734375, 443.71661376953125, 1059.281005859375, 527.7806396484375]]","[0.8785316944122314, 0.8323157429695129, 0.8285240530967712, 0.6136316061019897, 0.5967057943344116, 0.5647132396697998, 0.5312321782112122, 0.4739903509616852, 0.47019943594932556, 0.3228188157081604]","[[502.6138000488281, 726.4170532226562], [629.8341369628906, 708.9762573242188], [1459.4869384765625, 800.1220092773438], [952.8430480957031, 515.7653198242188], [750.14892578125, 568.4855346679688], [1275.2014770507812, 545.7568359375], [1105.1800537109375, 598.1304321289062], [1568.9656982421875, 771.07861328125], [1737.7797241210938, 584.55859375], [1036.592529296875, 527.7806396484375]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
9,,,10,"[3, 4, 1, 2, 7, 8, 5, 6, 11, 9]","[[582.700439453125, 445.1168518066406, 675.8815307617188, 708.432861328125], [435.1515197753906, 442.95220947265625, 570.4202880859375, 726.7261352539062], [1401.0693359375, 412.45977783203125, 1538.185791015625, 797.8405151367188], [1427.0924072265625, 423.24737548828125, 1652.419189453125, 781.7755737304688], [1254.048828125, 445.47662353515625, 1294.782958984375, 545.6851806640625], [1681.3333740234375, 428.3586120605469, 1789.8695068359375, 587.7366333007812], [730.0892944335938, 470.88262939453125, 768.8873291015625, 571.0286254882812], [933.938232421875, 436.10247802734375, 970.35302734375, 515.5274658203125], [1075.8851318359375, 447.99761962890625, 1136.711181640625, 598.5972900390625], [1015.229248046875, 441.9755554199219, 1058.9710693359375, 528.150634765625]]","[0.8384487628936768, 0.8224319219589233, 0.8091323971748352, 0.6036562323570251, 0.5691591501235962, 0.5685817003250122, 0.5644611716270447, 0.44761544466018677, 0.3687576949596405, 0.2832562029361725]","[[629.2909851074219, 708.432861328125], [502.78590393066406, 726.7261352539062], [1469.6275634765625, 797.8405151367188], [1539.7557983398438, 781.7755737304688], [1274.4158935546875, 545.6851806640625], [1735.6014404296875, 587.7366333007812], [749.4883117675781, 571.0286254882812], [952.1456298828125, 515.5274658203125], [1106.2981567382812, 598.5972900390625], [1037.1001586914062, 528.150634765625]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
10,,,10,"[4, 1, 3, 2, 7, 6, 5, 8, 11, 9]","[[435.4522705078125, 443.7984924316406, 572.9833374023438, 726.0086669921875], [1414.5283203125, 410.63201904296875, 1545.066650390625, 801.5556030273438], [582.5719604492188, 445.1139221191406, 674.0396118164062, 708.7346801757812], [1515.52392578125, 422.34869384765625, 1667.4296875, 772.60009765625], [1253.9986572265625, 445.0513916015625, 1295.6630859375, 545.833740234375], [933.4002685546875, 436.2003173828125, 971.2234497070312, 516.1961059570312], [730.622314453125, 468.5038757324219, 769.1343994140625, 571.5388793945312], [1687.3271484375, 430.1382751464844, 1789.6314697265625, 585.5841064453125], [1075.91845703125, 447.9800109863281, 1136.2044677734375, 598.6702270507812], [1013.5578002929688, 437.50152587890625, 1060.86181640625, 528.3588256835938]]","[0.8889986276626587, 0.8187536001205444, 0.8134790062904358, 0.7761116027832031, 0.5906791687011719, 0.5698645710945129, 0.5374138355255127, 0.5274165868759155, 0.41657552123069763, 0.3339540660381317]","[[504.2178039550781, 726.0086669921875], [1479.7974853515625, 801.5556030273438], [628.3057861328125, 708.7346801757812], [1591.476806640625, 772.60009765625], [1274.8308715820312, 545.833740234375], [952.3118591308594, 516.1961059570312], [749.8783569335938, 571.5388793945312], [1738.4793090820312, 585.5841064453125], [1106.0614624023438, 598.6702270507812], [1037.2098083496094, 528.3588256835938]]",1160515584,1148227584,1160515584,640,yolo26s_fp32_hq.engine,MOT17-02
