frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[[102.65105438232422, 548.6902465820312, 180.6623077392578, 794.5676879882812], [1357.49267578125, 574.558837890625, 1446.4150390625, 798.1804809570312], [370.5328369140625, 410.8458557128906, 453.236328125, 648.965576171875], [1733.849853515625, 459.30133056640625, 1805.94970703125, 669.9175415039062], [1102.96630859375, 209.20916748046875, 1160.287841796875, 387.7156677246094], [1098.0784912109375, 979.763671875, 1171.134765625, 1079.468994140625], [1041.4949951171875, 134.2705535888672, 1110.6202392578125, 314.46832275390625], [0.2794647216796875, 880.6091918945312, 43.762603759765625, 1079.3780517578125], [228.59274291992188, 402.6370544433594, 293.5146789550781, 602.6515502929688], [64.18206787109375, 1061.703125, 103.91877746582031, 1079.5784912109375], [1634.8203125, 261.6935729980469, 1697.3939208984375, 439.9333801269531], [794.35302734375, 147.3228302001953, 854.8931884765625, 318.9330139160156], [540.239990234375, 147.98977661132812, 604.5836181640625, 327.9517822265625], [1446.255126953125, 248.18002319335938, 1508.08251953125, 415.9883728027344], [1790.62451171875, 205.22906494140625, 1850.798583984375, 388.2602233886719]]","[0.8328161239624023, 0.8274352550506592, 0.813834011554718, 0.7806019186973572, 0.7305938601493835, 0.7227787971496582, 0.6288711428642273, 0.6245883107185364, 0.6161841750144958, 0.5822122097015381, 0.48752421140670776, 0.40498214960098267, 0.3934648931026459, 0.37830227613449097, 0.35056382417678833]","[[141.65668106079102, 794.5676879882812], [1401.953857421875, 798.1804809570312], [411.88458251953125, 648.965576171875], [1769.8997802734375, 669.9175415039062], [1131.6270751953125, 387.7156677246094], [1134.6066284179688, 1079.468994140625], [1076.0576171875, 314.46832275390625], [22.021034240722656, 1079.3780517578125], [261.0537109375, 602.6515502929688], [84.05042266845703, 1079.5784912109375], [1666.1071166992188, 439.9333801269531], [824.6231079101562, 318.9330139160156], [572.4118041992188, 327.9517822265625], [1477.1688232421875, 415.9883728027344], [1820.7115478515625, 388.2602233886719]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
2,,,15,"[1, 2, 3, 4, 6, 5, 9, 8, 7, 11, 10, 12, 13, 14, 15]","[[102.31212615966797, 549.0193481445312, 181.64271545410156, 795.24609375], [1357.8505859375, 574.3252563476562, 1446.6600341796875, 798.0223388671875], [371.83935546875, 410.21807861328125, 454.06353759765625, 648.8828735351562], [1732.739013671875, 459.1607360839844, 1806.7510986328125, 668.5555419921875], [1101.58056640625, 979.6334838867188, 1173.807861328125, 1079.467529296875], [1096.162109375, 209.30723571777344, 1156.554443359375, 387.6402587890625], [225.2761688232422, 401.7682800292969, 292.4430847167969, 602.8252563476562], [0.2603759765625, 878.0966796875, 43.415687561035156, 1079.3021240234375], [1041.7713623046875, 133.98275756835938, 1109.9183349609375, 313.2005615234375], [1634.093505859375, 261.361328125, 1696.2265625, 443.3134765625], [65.32398223876953, 1065.8800048828125, 98.50765228271484, 1079.5718994140625], [794.31982421875, 147.03744506835938, 854.6239013671875, 319.9878234863281], [540.9490966796875, 150.74949645996094, 605.024658203125, 327.8106689453125], [1442.650390625, 247.43508911132812, 1506.48486328125, 416.83587646484375], [1792.6710205078125, 205.68421936035156, 1856.855712890625, 390.06597900390625]]","[0.8564198017120361, 0.812814474105835, 0.8107659816741943, 0.797346830368042, 0.7189369201660156, 0.711683988571167, 0.6889728307723999, 0.6587188243865967, 0.6274388432502747, 0.4896893799304962, 0.4465923309326172, 0.3984297513961792, 0.36185237765312195, 0.34373313188552856, 0.2925812900066376]","[[141.97742080688477, 795.24609375], [1402.2553100585938, 798.0223388671875], [412.9514465332031, 648.8828735351562], [1769.7450561523438, 668.5555419921875], [1137.6942138671875, 1079.467529296875], [1126.3582763671875, 387.6402587890625], [258.85962677001953, 602.8252563476562], [21.838031768798828, 1079.3021240234375], [1075.8448486328125, 313.2005615234375], [1665.1600341796875, 443.3134765625], [81.91581726074219, 1079.5718994140625], [824.4718627929688, 319.9878234863281], [572.9868774414062, 327.8106689453125], [1474.567626953125, 416.83587646484375], [1824.7633666992188, 390.06597900390625]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
3,,,15,"[1, 4, 2, 3, 6, 8, 5, 7, 9, 11, 12, 15, 14, 13, 17]","[[102.17754364013672, 548.96240234375, 181.3011016845703, 795.1549682617188], [1731.61572265625, 459.3021545410156, 1804.1832275390625, 668.9260864257812], [1357.705322265625, 574.86669921875, 1446.5540771484375, 798.0784912109375], [372.7415466308594, 409.7537841796875, 455.108642578125, 649.2412109375], [1105.57373046875, 978.6509399414062, 1176.740478515625, 1079.4720458984375], [0.25615596771240234, 876.84033203125, 42.873329162597656, 1079.3743896484375], [1084.935302734375, 209.4681854248047, 1154.0106201171875, 387.38677978515625], [1044.999267578125, 134.2696990966797, 1108.375, 302.7860412597656], [227.1336669921875, 404.0485534667969, 298.63812255859375, 601.7479858398438], [1632.58056640625, 261.2577819824219, 1694.34619140625, 444.0647277832031], [793.5243530273438, 146.92022705078125, 854.7100830078125, 319.4992980957031], [1793.13671875, 205.7660675048828, 1857.056640625, 389.22723388671875], [1440.1082763671875, 246.8709259033203, 1506.1444091796875, 415.78179931640625], [539.6246948242188, 151.76710510253906, 605.0554809570312, 328.1908874511719], [891.298583984375, 129.6531219482422, 962.2227783203125, 300.0937805175781]]","[0.8488243222236633, 0.8211075663566589, 0.8161446452140808, 0.8155769109725952, 0.7056146860122681, 0.6633449196815491, 0.6608919501304626, 0.6250103712081909, 0.5511958003044128, 0.4886226952075958, 0.3795557916164398, 0.3673976957798004, 0.35889026522636414, 0.3294445872306824, 0.32544246315956116]","[[141.73932266235352, 795.1549682617188], [1767.8994750976562, 668.9260864257812], [1402.1296997070312, 798.0784912109375], [413.9250946044922, 649.2412109375], [1141.1571044921875, 1079.4720458984375], [21.56474256515503, 1079.3743896484375], [1119.4729614257812, 387.38677978515625], [1076.6871337890625, 302.7860412597656], [262.8858947753906, 601.7479858398438], [1663.46337890625, 444.0647277832031], [824.1172180175781, 319.4992980957031], [1825.0966796875, 389.22723388671875], [1473.1263427734375, 415.78179931640625], [572.340087890625, 328.1908874511719], [926.7606811523438, 300.0937805175781]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
4,,,15,"[1, 2, 3, 4, 6, 5, 8, 7, 9, 11, 15, 12, 14, 17, 13]","[[102.35211181640625, 548.9848022460938, 181.41896057128906, 794.9739379882812], [1357.8154296875, 574.9935913085938, 1446.68359375, 798.9964599609375], [372.8822021484375, 409.1117248535156, 455.2407531738281, 649.2609252929688], [1728.54541015625, 459.17510986328125, 1802.6890869140625, 667.0922241210938], [1108.2755126953125, 977.9264526367188, 1179.60205078125, 1079.4686279296875], [1073.962890625, 208.82655334472656, 1152.521728515625, 387.53375244140625], [0.27268123626708984, 875.500732421875, 44.71151351928711, 1079.444091796875], [1043.4547119140625, 134.5096893310547, 1108.2374267578125, 302.9123840332031], [225.17758178710938, 401.0224609375, 306.7441101074219, 599.0628051757812], [1630.7955322265625, 260.146728515625, 1693.825927734375, 441.9217834472656], [1795.841552734375, 205.49813842773438, 1857.538818359375, 389.3360290527344], [794.4783325195312, 146.72555541992188, 854.695068359375, 319.564697265625], [1437.0802001953125, 246.7210235595703, 1504.6082763671875, 416.78643798828125], [884.98486328125, 130.67498779296875, 962.026123046875, 302.0784606933594], [537.2222290039062, 149.94837951660156, 601.7923583984375, 327.1894836425781]]","[0.8549695611000061, 0.817027747631073, 0.80724036693573, 0.8019450306892395, 0.7357979416847229, 0.7304053902626038, 0.6574755311012268, 0.6216976642608643, 0.48540791869163513, 0.43709948658943176, 0.40349841117858887, 0.358607679605484, 0.3337671756744385, 0.3138728439807892, 0.28041619062423706]","[[141.88553619384766, 794.9739379882812], [1402.24951171875, 798.9964599609375], [414.0614776611328, 649.2609252929688], [1765.6172485351562, 667.0922241210938], [1143.9387817382812, 1079.4686279296875], [1113.2423095703125, 387.53375244140625], [22.4920973777771, 1079.444091796875], [1075.8460693359375, 302.9123840332031], [265.9608459472656, 599.0628051757812], [1662.3107299804688, 441.9217834472656], [1826.690185546875, 389.3360290527344], [824.5867004394531, 319.564697265625], [1470.84423828125, 416.78643798828125], [923.5054931640625, 302.0784606933594], [569.5072937011719, 327.1894836425781]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
5,,,15,"[1, 4, 2, 3, 5, 6, 8, 7, 11, 9, 15, 14, 12, 13, 17]","[[102.32627868652344, 548.6066284179688, 181.4239501953125, 795.2052001953125], [1728.11474609375, 458.3451843261719, 1803.143798828125, 667.2914428710938], [1357.93359375, 574.6499633789062, 1446.416015625, 798.5925903320312], [373.7171630859375, 408.34625244140625, 456.7196960449219, 647.8726196289062], [1068.8594970703125, 208.28826904296875, 1151.850830078125, 387.7166442871094], [1112.84033203125, 977.138916015625, 1182.4146728515625, 1079.501953125], [0.2871236801147461, 874.3555297851562, 45.592132568359375, 1079.5479736328125], [1042.73095703125, 135.1624298095703, 1107.82275390625, 299.73388671875], [1629.7490234375, 260.7720642089844, 1691.88232421875, 440.3391418457031], [223.97454833984375, 398.2437744140625, 303.07513427734375, 598.0281372070312], [1797.663330078125, 205.04782104492188, 1858.3817138671875, 388.23345947265625], [1436.46044921875, 245.78106689453125, 1504.0911865234375, 416.86785888671875], [794.454345703125, 147.31381225585938, 854.565185546875, 319.1534423828125], [539.7413330078125, 150.56829833984375, 602.0230712890625, 327.3875732421875], [881.4732055664062, 130.7567596435547, 963.14990234375, 303.3668518066406]]","[0.8523257374763489, 0.823958694934845, 0.8201838135719299, 0.8056098818778992, 0.7962341904640198, 0.7417551279067993, 0.6295311450958252, 0.6063905358314514, 0.5438112020492554, 0.5183416604995728, 0.4463481307029724, 0.44417062401771545, 0.3889194428920746, 0.32557058334350586, 0.30001044273376465]","[[141.87511444091797, 795.2052001953125], [1765.6292724609375, 667.2914428710938], [1402.1748046875, 798.5925903320312], [415.2184295654297, 647.8726196289062], [1110.3551635742188, 387.7166442871094], [1147.6275024414062, 1079.501953125], [22.93962812423706, 1079.5479736328125], [1075.27685546875, 299.73388671875], [1660.815673828125, 440.3391418457031], [263.52484130859375, 598.0281372070312], [1828.0225219726562, 388.23345947265625], [1470.2758178710938, 416.86785888671875], [824.509765625, 319.1534423828125], [570.8822021484375, 327.3875732421875], [922.3115539550781, 303.3668518066406]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
6,,,16,"[1, 4, 3, 2, 5, 6, 8, 9, 7, 11, 15, 12, 13, 18, 14, 17]","[[102.26057434082031, 548.4094848632812, 181.53726196289062, 794.9981689453125], [1725.760498046875, 458.875732421875, 1801.7618408203125, 667.7492065429688], [374.6557922363281, 407.3109436035156, 456.8020935058594, 645.0179443359375], [1357.4727783203125, 574.4390258789062, 1446.005615234375, 799.11962890625], [1062.20751953125, 207.98867797851562, 1152.7509765625, 387.5943603515625], [1114.5042724609375, 976.3558349609375, 1186.01513671875, 1079.3905029296875], [0.2754220962524414, 872.525146484375, 45.737464904785156, 1079.5184326171875], [222.41677856445312, 396.5169372558594, 303.9212646484375, 596.6293334960938], [1042.438232421875, 135.6517333984375, 1107.1680908203125, 295.80316162109375], [1627.8387451171875, 259.330810546875, 1691.480224609375, 440.8525390625], [1799.406982421875, 205.43516540527344, 1857.968017578125, 389.1172790527344], [793.9957275390625, 147.6764678955078, 854.3699340820312, 318.83575439453125], [540.6640625, 151.53689575195312, 602.3157348632812, 329.47149658203125], [631.7459106445312, 759.1783447265625, 677.6661376953125, 919.0081176757812], [1433.5010986328125, 245.38125610351562, 1500.8897705078125, 418.9055480957031], [885.6674194335938, 132.40847778320312, 964.8255615234375, 302.20562744140625]]","[0.8511188626289368, 0.8335282206535339, 0.8295793533325195, 0.814536452293396, 0.8040958642959595, 0.7876366972923279, 0.6315608024597168, 0.5821505188941956, 0.5533996820449829, 0.4491715431213379, 0.43714970350265503, 0.4052860140800476, 0.3631537854671478, 0.35671669244766235, 0.30916789174079895, 0.2506735622882843]","[[141.89891815185547, 794.9981689453125], [1763.7611694335938, 667.7492065429688], [415.72894287109375, 645.0179443359375], [1401.7391967773438, 799.11962890625], [1107.479248046875, 387.5943603515625], [1150.2597045898438, 1079.3905029296875], [23.0064435005188, 1079.5184326171875], [263.1690216064453, 596.6293334960938], [1074.8031616210938, 295.80316162109375], [1659.6594848632812, 440.8525390625], [1828.6875, 389.1172790527344], [824.1828308105469, 318.83575439453125], [571.4898986816406, 329.47149658203125], [654.7060241699219, 919.0081176757812], [1467.1954345703125, 418.9055480957031], [925.2464904785156, 302.20562744140625]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
7,,,16,"[1, 3, 5, 2, 4, 6, 7, 8, 9, 11, 15, 12, 13, 18, 14, 17]","[[102.3273696899414, 547.9716186523438, 181.67178344726562, 795.1044921875], [375.37225341796875, 405.6024169921875, 457.80291748046875, 643.724609375], [1054.6396484375, 208.56283569335938, 1152.39306640625, 387.32501220703125], [1357.2919921875, 574.67431640625, 1446.6904296875, 798.436767578125], [1725.676025390625, 458.2325134277344, 1800.048095703125, 666.30126953125], [1118.2012939453125, 976.0470581054688, 1188.1041259765625, 1079.4189453125], [1040.21240234375, 136.33050537109375, 1105.83056640625, 291.0335693359375], [0.3156709671020508, 871.140380859375, 46.145957946777344, 1079.5947265625], [220.8577880859375, 394.8705139160156, 295.3638610839844, 591.930908203125], [1627.197998046875, 259.1509704589844, 1690.27197265625, 439.5914306640625], [1800.5908203125, 206.10574340820312, 1859.68115234375, 389.4266052246094], [793.38720703125, 147.52011108398438, 854.184814453125, 319.25250244140625], [539.1480712890625, 150.975341796875, 600.6580200195312, 333.3294677734375], [631.0367431640625, 759.0480346679688, 677.7445678710938, 919.801513671875], [1433.385009765625, 244.98672485351562, 1499.143310546875, 416.7259826660156], [878.050048828125, 131.8562774658203, 963.4713134765625, 304.9458312988281]]","[0.8521676659584045, 0.8356505632400513, 0.8333985209465027, 0.8294828534126282, 0.8069143891334534, 0.7903575301170349, 0.5930033922195435, 0.5773576498031616, 0.5513073801994324, 0.5434865951538086, 0.5181987881660461, 0.39300864934921265, 0.39085653424263, 0.3528306484222412, 0.3265651762485504, 0.31024399399757385]","[[141.99957656860352, 795.1044921875], [416.58758544921875, 643.724609375], [1103.516357421875, 387.32501220703125], [1401.9912109375, 798.436767578125], [1762.862060546875, 666.30126953125], [1153.1527099609375, 1079.4189453125], [1073.021484375, 291.0335693359375], [23.230814456939697, 1079.5947265625], [258.11082458496094, 591.930908203125], [1658.7349853515625, 439.5914306640625], [1830.135986328125, 389.4266052246094], [823.7860107421875, 319.25250244140625], [569.9030456542969, 333.3294677734375], [654.3906555175781, 919.801513671875], [1466.26416015625, 416.7259826660156], [920.7606811523438, 304.9458312988281]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
8,,,16,"[3, 1, 2, 4, 5, 6, 7, 8, 9, 17, 15, 13, 12, 14, 18, 11]","[[375.8665466308594, 403.6644287109375, 458.1995544433594, 641.8513793945312], [102.7243423461914, 548.0020751953125, 181.74688720703125, 794.6749267578125], [1357.337890625, 575.013671875, 1446.5633544921875, 798.4176025390625], [1725.013916015625, 458.2247009277344, 1799.795166015625, 666.6178588867188], [1050.6884765625, 209.01351928710938, 1152.6280517578125, 387.1341247558594], [1121.9163818359375, 975.766357421875, 1190.618896484375, 1079.44970703125], [1037.9248046875, 137.1585235595703, 1105.693603515625, 288.1145935058594], [0.31476688385009766, 869.1701049804688, 46.98918151855469, 1079.508544921875], [218.76129150390625, 393.1394958496094, 300.0345458984375, 582.5795288085938], [879.2723388671875, 132.84396362304688, 964.7281494140625, 304.81170654296875], [1800.176513671875, 207.9249267578125, 1863.31884765625, 391.0746765136719], [540.7546997070312, 152.3932647705078, 601.108642578125, 335.9802551269531], [794.5358276367188, 147.64671325683594, 854.7078857421875, 320.598388671875], [1434.4312744140625, 245.1587677001953, 1497.719970703125, 414.5421142578125], [632.1953735351562, 759.2683715820312, 677.6317138671875, 917.9297485351562], [1625.882568359375, 258.7101135253906, 1689.2508544921875, 439.0378112792969]]","[0.8451554179191589, 0.8345673084259033, 0.8271027207374573, 0.817371129989624, 0.8074976205825806, 0.8057727217674255, 0.6359027624130249, 0.6283296346664429, 0.585384726524353, 0.5047694444656372, 0.4831535220146179, 0.4334183633327484, 0.4029513895511627, 0.38333895802497864, 0.37427079677581787, 0.35875028371810913]","[[417.0330505371094, 641.8513793945312], [142.23561477661133, 794.6749267578125], [1401.9506225585938, 798.4176025390625], [1762.404541015625, 666.6178588867188], [1101.6582641601562, 387.1341247558594], [1156.2676391601562, 1079.44970703125], [1071.8092041015625, 288.1145935058594], [23.651974201202393, 1079.508544921875], [259.3979187011719, 582.5795288085938], [922.000244140625, 304.81170654296875], [1831.7476806640625, 391.0746765136719], [570.9316711425781, 335.9802551269531], [824.6218566894531, 320.598388671875], [1466.0756225585938, 414.5421142578125], [654.9135437011719, 917.9297485351562], [1657.5667114257812, 439.0378112792969]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
9,,,16,"[1, 2, 3, 6, 4, 5, 7, 8, 9, 15, 17, 11, 18, 13, 12, 14]","[[102.84144592285156, 548.0784912109375, 181.17861938476562, 794.3239135742188], [1357.10888671875, 575.247802734375, 1446.6534423828125, 798.2060546875], [376.8818359375, 402.0736999511719, 459.76251220703125, 639.8758544921875], [1125.322998046875, 975.6101684570312, 1193.305419921875, 1079.46435546875], [1723.828125, 458.2839660644531, 1798.8076171875, 666.1519775390625], [1049.6632080078125, 208.8957977294922, 1152.716552734375, 386.1825866699219], [1035.1842041015625, 137.42507934570312, 1104.6158447265625, 291.5968322753906], [0.32210254669189453, 866.8731689453125, 47.393943786621094, 1079.66650390625], [216.63739013671875, 392.0528869628906, 294.11798095703125, 586.754638671875], [1799.9013671875, 210.1959686279297, 1859.85498046875, 395.1804504394531], [878.9476318359375, 133.34803771972656, 961.9647216796875, 305.2864685058594], [1624.845458984375, 258.6486511230469, 1686.8525390625, 437.4126281738281], [631.5360107421875, 759.0573120117188, 677.6382446289062, 918.1517944335938], [540.708740234375, 154.67556762695312, 600.526611328125, 337.54779052734375], [793.9803466796875, 147.6140899658203, 854.8167114257812, 319.1572265625], [1433.6588134765625, 243.6685333251953, 1496.03515625, 411.3937072753906]]","[0.8523308634757996, 0.8332335352897644, 0.8144964575767517, 0.8128721117973328, 0.8064789175987244, 0.767973780632019, 0.6784811615943909, 0.6600424647331238, 0.6169797778129578, 0.5584295392036438, 0.5344393253326416, 0.5313127040863037, 0.3979960083961487, 0.3794008493423462, 0.3699723780155182, 0.3588827848434448]","[[142.0100326538086, 794.3239135742188], [1401.8811645507812, 798.2060546875], [418.3221740722656, 639.8758544921875], [1159.314208984375, 1079.46435546875], [1761.31787109375, 666.1519775390625], [1101.1898803710938, 386.1825866699219], [1069.9000244140625, 291.5968322753906], [23.858023166656494, 1079.66650390625], [255.377685546875, 586.754638671875], [1829.878173828125, 395.1804504394531], [920.4561767578125, 305.2864685058594], [1655.8489990234375, 437.4126281738281], [654.5871276855469, 918.1517944335938], [570.61767578125, 337.54779052734375], [824.3985290527344, 319.1572265625], [1464.8469848632812, 411.3937072753906]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
10,,,16,"[2, 1, 4, 6, 3, 5, 8, 7, 9, 15, 17, 11, 18, 13, 12, 14]","[[1357.262451171875, 574.7288818359375, 1447.54443359375, 798.3920288085938], [102.99991607666016, 548.279296875, 181.29644775390625, 794.0862426757812], [1724.2216796875, 457.9669494628906, 1797.91162109375, 665.8936157226562], [1129.047607421875, 975.5604248046875, 1195.847900390625, 1079.484130859375], [376.8212585449219, 400.53857421875, 460.517822265625, 636.7116088867188], [1047.273681640625, 208.10531616210938, 1151.32958984375, 385.84747314453125], [0.31885528564453125, 864.4671630859375, 46.658111572265625, 1079.5633544921875], [1034.9508056640625, 138.61280822753906, 1103.0565185546875, 294.08160400390625], [214.86941528320312, 391.4366760253906, 295.1592712402344, 583.861328125], [1799.6553955078125, 212.4864959716797, 1862.083251953125, 399.70880126953125], [879.7242431640625, 133.29965209960938, 964.0925903320312, 305.85809326171875], [1622.8839111328125, 257.61004638671875, 1686.17041015625, 437.68115234375], [631.8292846679688, 759.109130859375, 677.5000610351562, 917.8024291992188], [538.7482299804688, 155.54811096191406, 599.093994140625, 338.45709228515625], [795.0496215820312, 147.57421875, 853.507568359375, 319.48388671875], [1432.81884765625, 243.63565063476562, 1496.15771484375, 408.75848388671875]]","[0.8391271233558655, 0.8374755382537842, 0.8294777274131775, 0.8072676658630371, 0.7981736063957214, 0.745698869228363, 0.7043681144714355, 0.6756523847579956, 0.6567644476890564, 0.5924685597419739, 0.5870736837387085, 0.4799783229827881, 0.3812490403652191, 0.3587847352027893, 0.3562620282173157, 0.3003354072570801]","[[1402.4034423828125, 798.3920288085938], [142.1481819152832, 794.0862426757812], [1761.066650390625, 665.8936157226562], [1162.44775390625, 1079.484130859375], [418.66954040527344, 636.7116088867188], [1099.3016357421875, 385.84747314453125], [23.488483428955078, 1079.5633544921875], [1069.003662109375, 294.08160400390625], [255.01434326171875, 583.861328125], [1830.8693237304688, 399.70880126953125], [921.9084167480469, 305.85809326171875], [1654.5271606445312, 437.68115234375], [654.6646728515625, 917.8024291992188], [568.9211120605469, 338.45709228515625], [824.2785949707031, 319.48388671875], [1464.48828125, 408.75848388671875]]",1160011776,1147555840,1160011776,640,yolo26m_fp32_hq.engine,MOT17-04
