frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[369.6131286621094, 410.1452331542969, 452.652587890625, 650.4322509765625], [100.535888671875, 546.6823120117188, 177.37814331054688, 794.7263793945312], [229.5025177001953, 366.0509033203125, 327.6988220214844, 596.3174438476562], [1353.57421875, 571.6072387695312, 1459.51416015625, 819.9635009765625], [1733.26123046875, 459.9170227050781, 1805.7147216796875, 670.72314453125], [0.3715553283691406, 881.1083984375, 45.168609619140625, 1079.658447265625], [1103.6767578125, 212.9546661376953, 1161.7628173828125, 387.7987060546875], [1631.684326171875, 263.4648742675781, 1710.136474609375, 432.9493103027344]]","[0.830306887626648, 0.7981709837913513, 0.6813480257987976, 0.6344816088676453, 0.5134221315383911, 0.44028404355049133, 0.38061270117759705, 0.35304275155067444]","[[411.1328582763672, 650.4322509765625], [138.95701599121094, 794.7263793945312], [278.60066986083984, 596.3174438476562], [1406.544189453125, 819.9635009765625], [1769.4879760742188, 670.72314453125], [22.770082473754883, 1079.658447265625], [1132.7197875976562, 387.7987060546875], [1670.910400390625, 432.9493103027344]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
2,,,8,"[1, 2, 3, 4, 5, 7, 6, 8]","[[370.9090576171875, 409.8877258300781, 453.1220703125, 650.0670166015625], [100.9072265625, 546.439697265625, 177.66629028320312, 795.0066528320312], [226.99717712402344, 367.61639404296875, 325.5699157714844, 599.1241455078125], [1353.9063720703125, 572.06298828125, 1458.619140625, 820.3177490234375], [1731.635498046875, 460.178955078125, 1806.086669921875, 670.22802734375], [1097.65625, 212.9013671875, 1158.295654296875, 387.8753967285156], [0.3391284942626953, 878.8292846679688, 42.91853332519531, 1078.9395751953125], [1631.79150390625, 261.8875732421875, 1704.950439453125, 410.20440673828125]]","[0.8429822325706482, 0.8025685548782349, 0.6446276307106018, 0.6147240400314331, 0.4678580164909363, 0.3721323311328888, 0.29836389422416687, 0.2634701132774353]","[[412.01556396484375, 650.0670166015625], [139.28675842285156, 795.0066528320312], [276.2835464477539, 599.1241455078125], [1406.2627563476562, 820.3177490234375], [1768.861083984375, 670.22802734375], [1127.9759521484375, 387.8753967285156], [21.628830909729004, 1078.9395751953125], [1668.3709716796875, 410.20440673828125]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
3,,,7,"[1, 2, 5, 4, 3, 7, 8]","[[371.7115478515625, 409.07598876953125, 453.5157470703125, 650.3681640625], [101.28337097167969, 546.791259765625, 177.68673706054688, 794.881591796875], [1731.305908203125, 459.2607421875, 1804.83544921875, 669.38232421875], [1353.8701171875, 572.2658081054688, 1458.0343017578125, 820.445068359375], [226.40228271484375, 365.43646240234375, 324.5871276855469, 599.8743286132812], [1085.8214111328125, 212.1768798828125, 1156.517822265625, 388.2882385253906], [1628.5286865234375, 260.2498474121094, 1703.098388671875, 424.860595703125]]","[0.8483651876449585, 0.804297685623169, 0.6569777131080627, 0.6470972895622253, 0.5866371393203735, 0.5193904042243958, 0.32878825068473816]","[[412.6136474609375, 650.3681640625], [139.48505401611328, 794.881591796875], [1768.0706787109375, 669.38232421875], [1405.9522094726562, 820.445068359375], [275.4947052001953, 599.8743286132812], [1121.1696166992188, 388.2882385253906], [1665.8135375976562, 424.860595703125]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
4,,,9,"[1, 2, 3, 4, 5, 7, 9, 6, 8]","[[371.9415283203125, 409.0767517089844, 452.81439208984375, 650.0761108398438], [100.94029235839844, 546.8656616210938, 178.01629638671875, 794.8252563476562], [222.72857666015625, 372.77325439453125, 319.5543212890625, 598.2689819335938], [1353.20263671875, 571.8733520507812, 1457.346923828125, 820.430419921875], [1728.34619140625, 458.76336669921875, 1804.670166015625, 668.2742309570312], [1077.19189453125, 210.72421264648438, 1154.140380859375, 387.523193359375], [877.208251953125, 126.05935668945312, 963.9425048828125, 298.9559631347656], [0.41951751708984375, 875.3558349609375, 45.669803619384766, 1078.3489990234375], [1628.8427734375, 259.216796875, 1701.603271484375, 430.3868713378906]]","[0.8558177351951599, 0.8247730731964111, 0.6968610286712646, 0.6854524612426758, 0.6732820868492126, 0.5851113200187683, 0.3974209725856781, 0.3907832205295563, 0.34514397382736206]","[[412.3779602050781, 650.0761108398438], [139.4782943725586, 794.8252563476562], [271.1414489746094, 598.2689819335938], [1405.2747802734375, 820.430419921875], [1766.5081787109375, 668.2742309570312], [1115.6661376953125, 387.523193359375], [920.5753784179688, 298.9559631347656], [23.044660568237305, 1078.3489990234375], [1665.2230224609375, 430.3868713378906]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
5,,,9,"[1, 2, 7, 5, 3, 4, 8, 9, 6]","[[373.44500732421875, 408.5268249511719, 453.99163818359375, 649.4003295898438], [100.95317077636719, 546.2968139648438, 177.63523864746094, 794.753662109375], [1066.681396484375, 211.25537109375, 1151.7503662109375, 386.9127197265625], [1727.24658203125, 458.8773193359375, 1804.283935546875, 669.7687377929688], [221.7469940185547, 361.2849426269531, 319.9210510253906, 595.2273559570312], [1353.911376953125, 572.3588256835938, 1457.540771484375, 820.3897094726562], [1627.8740234375, 259.50994873046875, 1701.87255859375, 405.76043701171875], [877.951171875, 127.5470199584961, 964.5433349609375, 301.82525634765625], [0.4033241271972656, 874.4158935546875, 46.66701889038086, 1077.4632568359375]]","[0.8551615476608276, 0.8074551820755005, 0.7067892551422119, 0.6803684234619141, 0.6487791538238525, 0.6384056210517883, 0.3972490429878235, 0.3726561367511749, 0.3029434084892273]","[[413.71832275390625, 649.4003295898438], [139.29420471191406, 794.753662109375], [1109.2158813476562, 386.9127197265625], [1765.7652587890625, 669.7687377929688], [270.83402252197266, 595.2273559570312], [1405.72607421875, 820.3897094726562], [1664.873291015625, 405.76043701171875], [921.2472534179688, 301.82525634765625], [23.535171508789062, 1077.4632568359375]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
6,,,9,"[1, 2, 7, 4, 3, 5, 9, 8, 6]","[[373.659423828125, 407.4130859375, 454.86541748046875, 648.187255859375], [101.28012084960938, 546.6517333984375, 177.9566650390625, 794.6878662109375], [1060.165283203125, 211.2613983154297, 1151.44091796875, 387.47857666015625], [1354.02783203125, 572.3925170898438, 1456.4969482421875, 819.7339477539062], [218.79354858398438, 360.87939453125, 316.9036865234375, 595.5308837890625], [1725.9136962890625, 459.0716857910156, 1804.583251953125, 671.7393188476562], [880.3086547851562, 127.5173568725586, 965.8800048828125, 304.2240295410156], [1627.382568359375, 258.67132568359375, 1700.284423828125, 400.8816833496094], [0.3956565856933594, 872.297607421875, 47.26023483276367, 1076.8851318359375]]","[0.8651937246322632, 0.7966291904449463, 0.7525457739830017, 0.6320563554763794, 0.5707208514213562, 0.5472575426101685, 0.3722309172153473, 0.3432213366031647, 0.31755170226097107]","[[414.2624206542969, 648.187255859375], [139.61839294433594, 794.6878662109375], [1105.8031005859375, 387.47857666015625], [1405.2623901367188, 819.7339477539062], [267.84861755371094, 595.5308837890625], [1765.2484741210938, 671.7393188476562], [923.0943298339844, 304.2240295410156], [1663.83349609375, 400.8816833496094], [23.827945709228516, 1076.8851318359375]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
7,,,8,"[1, 2, 7, 4, 9, 3, 8, 6]","[[374.81011962890625, 406.1108703613281, 457.2574462890625, 646.876953125], [100.69938659667969, 546.4900512695312, 177.77049255371094, 794.7772827148438], [1055.6644287109375, 211.655029296875, 1152.1943359375, 388.2938232421875], [1353.58251953125, 572.3187255859375, 1457.179443359375, 819.9464721679688], [878.6098022460938, 128.17056274414062, 965.5578002929688, 305.46783447265625], [217.34017944335938, 360.7288818359375, 313.1894226074219, 588.6322021484375], [1626.786865234375, 258.0605773925781, 1698.2318115234375, 403.039306640625], [0.3839893341064453, 871.136474609375, 47.19802474975586, 1076.6195068359375]]","[0.8631665110588074, 0.8019758462905884, 0.7562069296836853, 0.6785589456558228, 0.44661787152290344, 0.44475144147872925, 0.3921493887901306, 0.3356858193874359]","[[416.0337829589844, 646.876953125], [139.2349395751953, 794.7772827148438], [1103.9293823242188, 388.2938232421875], [1405.3809814453125, 819.9464721679688], [922.0838012695312, 305.46783447265625], [265.2648010253906, 588.6322021484375], [1662.5093383789062, 403.039306640625], [23.791007041931152, 1076.6195068359375]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
8,,,9,"[1, 2, 7, 4, 3, 9, 8, 6, 5]","[[375.9033203125, 404.9596862792969, 456.7801208496094, 643.7722778320312], [100.91612243652344, 546.6492919921875, 177.87091064453125, 795.0123901367188], [1050.8182373046875, 213.28016662597656, 1150.8167724609375, 385.9729309082031], [1353.76904296875, 572.454833984375, 1457.463623046875, 819.8243408203125], [214.4004364013672, 358.4693298339844, 312.23468017578125, 575.9692993164062], [879.5263671875, 128.53236389160156, 967.1889038085938, 306.2420349121094], [1625.51416015625, 257.3885192871094, 1699.8974609375, 402.216552734375], [0.42585182189941406, 868.935302734375, 47.94024658203125, 1076.0538330078125], [1722.830810546875, 458.3675537109375, 1802.6904296875, 667.5089111328125]]","[0.8613787889480591, 0.791143000125885, 0.7330607175827026, 0.6153845191001892, 0.4692227840423584, 0.44515085220336914, 0.40239131450653076, 0.28123775124549866, 0.27005288004875183]","[[416.3417205810547, 643.7722778320312], [139.39351654052734, 795.0123901367188], [1100.8175048828125, 385.9729309082031], [1405.6163330078125, 819.8243408203125], [263.3175582885742, 575.9692993164062], [923.3576354980469, 306.2420349121094], [1662.705810546875, 402.216552734375], [24.183049201965332, 1076.0538330078125], [1762.7606201171875, 667.5089111328125]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
9,,,8,"[2, 4, 7, 3, 9, 1, 8, 5]","[[100.50302124023438, 546.8876953125, 178.2213134765625, 795.0534057617188], [1354.1806640625, 572.6664428710938, 1456.4420166015625, 819.4837646484375], [1046.1033935546875, 215.77896118164062, 1150.9609375, 385.176513671875], [212.77053833007812, 356.5219421386719, 313.16021728515625, 587.3785400390625], [880.1746826171875, 128.5551300048828, 968.173095703125, 305.7622985839844], [376.47625732421875, 402.9610595703125, 458.3277587890625, 640.9436645507812], [1625.180419921875, 257.6276550292969, 1692.39892578125, 400.9871826171875], [1722.5693359375, 457.9351806640625, 1801.8828125, 667.33984375]]","[0.8012900948524475, 0.6161385774612427, 0.6071844696998596, 0.6031603217124939, 0.5631325840950012, 0.48758503794670105, 0.35615313053131104, 0.2907421588897705]","[[139.36216735839844, 795.0534057617188], [1405.3113403320312, 819.4837646484375], [1098.5321655273438, 385.176513671875], [262.9653778076172, 587.3785400390625], [924.1738891601562, 305.7622985839844], [417.4020080566406, 640.9436645507812], [1658.7896728515625, 400.9871826171875], [1762.22607421875, 667.33984375]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
10,,,9,"[1, 2, 4, 3, 9, 8, 5, 7, 6]","[[377.3934020996094, 401.581298828125, 457.9083251953125, 638.7172241210938], [101.1280517578125, 547.199951171875, 178.55223083496094, 794.8548583984375], [1353.5902099609375, 571.7924194335938, 1456.062744140625, 818.916259765625], [209.39352416992188, 355.232177734375, 313.2206726074219, 585.0771484375], [880.0787353515625, 128.92872619628906, 968.3804931640625, 305.8938293457031], [1623.43701171875, 256.8879699707031, 1689.9876708984375, 400.1302490234375], [1722.811279296875, 457.8578796386719, 1801.109130859375, 666.5408935546875], [1041.5712890625, 221.5753173828125, 1150.529052734375, 383.6307373046875], [0.39131927490234375, 863.469482421875, 47.956504821777344, 1076.578125]]","[0.8355245590209961, 0.8003883957862854, 0.6471144556999207, 0.6353099346160889, 0.5687945485115051, 0.39992615580558777, 0.3656937777996063, 0.3355455696582794, 0.2809384763240814]","[[417.65086364746094, 638.7172241210938], [139.84014129638672, 794.8548583984375], [1404.8264770507812, 818.916259765625], [261.3070983886719, 585.0771484375], [924.2296142578125, 305.8938293457031], [1656.7123413085938, 400.1302490234375], [1761.960205078125, 666.5408935546875], [1096.0501708984375, 383.6307373046875], [24.173912048339844, 1076.578125]]",1158909952,1146462208,1158909952,640,yolo26n_fp32_hq.engine,MOT17-04
