frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,3,"[1, 2, 3]","[[1700.8843994140625, 388.48651123046875, 1878.3448486328125, 725.8682861328125], [1.5279133319854736, 342.22576904296875, 123.44538116455078, 904.0294189453125], [252.98240661621094, 455.9547119140625, 356.33209228515625, 707.230712890625]]","[0.8466851115226746, 0.7672441005706787, 0.469009131193161]","[[1789.6146240234375, 725.8682861328125], [62.48664724826813, 904.0294189453125], [304.6572494506836, 707.230712890625]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
2,,,3,"[2, 1, 3]","[[1.4633305072784424, 336.09735107421875, 123.361328125, 907.6492919921875], [1692.23876953125, 388.5437316894531, 1875.529541015625, 725.0161743164062], [260.60626220703125, 456.67022705078125, 355.7398986816406, 707.56005859375]]","[0.8262465000152588, 0.6999761462211609, 0.4504946768283844]","[[62.41232931613922, 907.6492919921875], [1783.8841552734375, 725.0161743164062], [308.17308044433594, 707.56005859375]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
3,,,4,"[2, 1, 4, 3]","[[1.397247314453125, 321.4001770019531, 128.25216674804688, 907.2804565429688], [1691.688232421875, 389.5931396484375, 1872.8116455078125, 726.9392700195312], [1264.3065185546875, 460.8741149902344, 1365.2265625, 659.6749877929688], [265.28009033203125, 457.64764404296875, 354.73468017578125, 707.5235595703125]]","[0.8258213996887207, 0.6811191439628601, 0.4705323874950409, 0.40904131531715393]","[[64.82470703125, 907.2804565429688], [1782.2499389648438, 726.9392700195312], [1314.7665405273438, 659.6749877929688], [310.00738525390625, 707.5235595703125]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
4,,,3,"[2, 1, 3]","[[1.4432398080825806, 309.0660705566406, 134.12033081054688, 907.6116943359375], [1692.107421875, 390.2154235839844, 1870.8560791015625, 728.3109741210938], [264.8955078125, 457.75933837890625, 355.81695556640625, 707.7955322265625]]","[0.8209885954856873, 0.6579930782318115, 0.3540913164615631]","[[67.78178530931473, 907.6116943359375], [1781.4817504882812, 728.3109741210938], [310.3562316894531, 707.7955322265625]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
5,,,3,"[1, 2, 3]","[[1694.3751220703125, 387.7364196777344, 1864.4522705078125, 733.05712890625], [1.3540775775909424, 252.14486694335938, 144.6876678466797, 908.866455078125], [263.8544921875, 457.1700134277344, 354.5215148925781, 708.5375366210938]]","[0.8595606684684753, 0.646742582321167, 0.4306063950061798]","[[1779.4136962890625, 733.05712890625], [73.02087271213531, 908.866455078125], [309.18800354003906, 708.5375366210938]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
6,,,3,"[2, 1, 3]","[[0.718841552734375, 245.80564880371094, 147.5650177001953, 908.1427001953125], [1694.913330078125, 386.61273193359375, 1862.438720703125, 735.74267578125], [264.3985595703125, 456.07135009765625, 356.19744873046875, 708.9393920898438]]","[0.843614935874939, 0.8421744108200073, 0.42785724997520447]","[[74.14192962646484, 908.1427001953125], [1778.676025390625, 735.74267578125], [310.2980041503906, 708.9393920898438]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
7,,,3,"[1, 2, 5]","[[1693.509033203125, 386.7265625, 1858.057861328125, 738.0418701171875], [0.7792027592658997, 235.90936279296875, 151.41456604003906, 906.9464721679688], [1270.974853515625, 538.261474609375, 1328.5255126953125, 660.584228515625]]","[0.8611904978752136, 0.8492531180381775, 0.522627592086792]","[[1775.783447265625, 738.0418701171875], [76.09688439965248, 906.9464721679688], [1299.7501831054688, 660.584228515625]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
8,,,4,"[1, 2, 5, 6]","[[1693.3558349609375, 386.96478271484375, 1856.860107421875, 739.46044921875], [0.7428868412971497, 237.49256896972656, 155.17897033691406, 906.372314453125], [1274.992919921875, 536.5857543945312, 1359.2196044921875, 660.2047119140625], [1874.8394775390625, 381.0953674316406, 1919.1162109375, 576.2250366210938]]","[0.873440146446228, 0.8540810346603394, 0.4313053488731384, 0.35237446427345276]","[[1775.1079711914062, 739.46044921875], [77.9609285891056, 906.372314453125], [1317.1062622070312, 660.2047119140625], [1896.9778442382812, 576.2250366210938]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
9,,,4,"[1, 2, 6, 5]","[[1690.4979248046875, 387.4241943359375, 1859.3116455078125, 739.708984375], [0.9429550170898438, 232.09695434570312, 166.40489196777344, 906.5032348632812], [1877.615966796875, 381.8993225097656, 1919.0701904296875, 581.9903564453125], [1276.699951171875, 536.8217163085938, 1368.3961181640625, 660.684814453125]]","[0.8795524835586548, 0.8548494577407837, 0.37217390537261963, 0.364381343126297]","[[1774.90478515625, 739.708984375], [83.67392349243164, 906.5032348632812], [1898.3430786132812, 581.9903564453125], [1322.5480346679688, 660.684814453125]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
10,,,4,"[1, 2, 6, 4]","[[1687.9119873046875, 387.9917297363281, 1854.05224609375, 741.9676513671875], [1.0991287231445312, 233.6422882080078, 170.5443878173828, 908.681884765625], [1872.9302978515625, 381.7144775390625, 1919.0130615234375, 589.6094970703125], [1313.2017822265625, 459.4404296875, 1390.736083984375, 655.9217529296875]]","[0.9082786440849304, 0.8110540509223938, 0.5571514964103699, 0.4914966821670532]","[[1770.9821166992188, 741.9676513671875], [85.82175827026367, 908.681884765625], [1895.9716796875, 589.6094970703125], [1351.9689331054688, 655.9217529296875]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
11,,,4,"[1, 2, 6, 4]","[[1685.9052734375, 388.5173645019531, 1853.052734375, 742.6544799804688], [0.9591801762580872, 233.52780151367188, 178.81646728515625, 907.9515991210938], [1868.5975341796875, 382.15142822265625, 1918.9947509765625, 591.9940795898438], [1305.7313232421875, 457.72607421875, 1389.386474609375, 659.8302001953125]]","[0.9070464968681335, 0.8867329359054565, 0.6023094654083252, 0.5127230882644653]","[[1769.47900390625, 742.6544799804688], [89.88782373070717, 907.9515991210938], [1893.796142578125, 591.9940795898438], [1347.5588989257812, 659.8302001953125]]",1151905792,1139494912,1151905792,576,yolo26n_fp32_576_hq.engine,MOT17-09
