frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[[370.3125, 410.20831298828125, 452.1874694824219, 646.4583129882812], [101.875, 545.0, 176.04165649414062, 793.3333129882812], [1731.666748046875, 457.5, 1808.3333740234375, 679.1666259765625], [1097.916748046875, 980.4166870117188, 1172.0833740234375, 1079.583251953125], [1102.083251953125, 212.29165649414062, 1161.25, 389.3749694824219], [1048.333251953125, 135.41665649414062, 1110.0, 315.4166564941406], [546.25, 142.29165649414062, 602.9166259765625, 327.70831298828125], [1355.41650390625, 575.0, 1441.2498779296875, 803.3333129882812], [789.9998779296875, 146.66665649414062, 851.6665649414062, 325.83331298828125], [272.9166259765625, 386.24993896484375, 326.2499694824219, 597.083251953125], [0.18229293823242188, 882.5, 39.765625, 1080.0], [228.12496948242188, 390.83331298828125, 301.0416259765625, 600.8333129882812], [505.20831298828125, 132.29165649414062, 556.4583129882812, 306.0416564941406]]","[0.76416015625, 0.7060546875, 0.6669921875, 0.60107421875, 0.5322265625, 0.467041015625, 0.44921875, 0.4345703125, 0.40771484375, 0.403076171875, 0.39501953125, 0.33642578125, 0.253173828125]","[[411.24998474121094, 646.4583129882812], [138.9583282470703, 793.3333129882812], [1770.0000610351562, 679.1666259765625], [1135.0000610351562, 1079.583251953125], [1131.6666259765625, 389.3749694824219], [1079.1666259765625, 315.4166564941406], [574.5833129882812, 327.70831298828125], [1398.3331909179688, 803.3333129882812], [820.8332214355469, 325.83331298828125], [299.5832977294922, 597.083251953125], [19.97395896911621, 1080.0], [264.5832977294922, 600.8333129882812], [530.8333129882812, 306.0416564941406]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
2,,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[371.22576904296875, 409.66595458984375, 453.44366455078125, 647.0006713867188], [101.3775634765625, 546.0846557617188, 176.17752075195312, 796.58740234375], [1732.0333251953125, 458.5846862792969, 1807.9666748046875, 678.0819091796875], [1099.8299560546875, 980.0550537109375, 1174.5089111328125, 1079.9449462890625], [1098.9462890625, 212.29165649414062, 1158.6016845703125, 390.8212585449219], [1047.3597412109375, 133.2472381591797, 1109.527099609375, 314.6935119628906], [544.7620849609375, 144.09951782226562, 600.7888793945312, 327.34674072265625], [1356.213623046875, 575.72314453125, 1440.452880859375, 799.7175903320312], [789.9276123046875, 147.20901489257812, 852.4620971679688, 328.90667724609375], [271.3790588378906, 386.611572265625, 323.810302734375, 593.8291625976562], [0.0, 879.9689331054688, 40.013023376464844, 1080.0], [226.04718017578125, 391.91802978515625, 297.6958923339844, 598.3023071289062]]","[0.76806640625, 0.71484375, 0.6533203125, 0.63330078125, 0.424072265625, 0.427490234375, 0.47314453125, 0.513671875, 0.41796875, 0.417724609375, 0.447509765625, 0.404052734375]","[[412.334716796875, 647.0006713867188], [138.7775421142578, 796.58740234375], [1770.0, 678.0819091796875], [1137.16943359375, 1079.9449462890625], [1128.7739868164062, 390.8212585449219], [1078.4434204101562, 314.6935119628906], [572.7754821777344, 327.34674072265625], [1398.333251953125, 799.7175903320312], [821.1948547363281, 328.90667724609375], [297.5946807861328, 593.8291625976562], [20.006511688232422, 1080.0], [261.8715362548828, 598.3023071289062]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
3,,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[372.3727722167969, 409.572998046875, 454.6136169433594, 647.0936279296875], [102.04632568359375, 545.9471435546875, 176.74124145507812, 796.1747436523438], [1731.843994140625, 458.11785888671875, 1808.156005859375, 678.5487670898438], [1102.9359130859375, 978.69775390625, 1178.623291015625, 1080.0], [1093.8773193359375, 211.48240661621094, 1153.6151123046875, 389.9363708496094], [1046.215087890625, 133.1988983154297, 1107.8341064453125, 312.9508972167969], [543.8882446289062, 145.224609375, 599.7388305664062, 327.7745666503906], [1356.6373291015625, 575.5191040039062, 1441.3388671875, 800.7373657226562], [789.77294921875, 146.17201232910156, 852.0951538085938, 327.3354797363281], [268.4855041503906, 383.4015808105469, 321.77130126953125, 593.927734375], [0.0, 875.65771484375, 40.23472213745117, 1080.0], [227.20108032226562, 382.7785339355469, 302.159423828125, 598.0336303710938]]","[0.77685546875, 0.70751953125, 0.65283203125, 0.634765625, 0.50537109375, 0.4228515625, 0.427490234375, 0.449462890625, 0.41259765625, 0.295166015625, 0.397705078125, 0.327392578125]","[[413.4931945800781, 647.0936279296875], [139.39378356933594, 796.1747436523438], [1770.0, 678.5487670898438], [1140.7796020507812, 1080.0], [1123.7462158203125, 389.9363708496094], [1077.0245971679688, 312.9508972167969], [571.8135375976562, 327.7745666503906], [1398.9880981445312, 800.7373657226562], [820.9340515136719, 327.3354797363281], [295.12840270996094, 593.927734375], [20.117361068725586, 1080.0], [264.6802520751953, 598.0336303710938]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
4,,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[373.1075439453125, 409.0772705078125, 455.2048645019531, 646.3187866210938], [102.2138442993164, 545.5652465820312, 176.65341186523438, 795.0291748046875], [1729.988525390625, 456.36492919921875, 1807.4686279296875, 680.3016967773438], [1104.6136474609375, 976.697265625, 1181.6812744140625, 1080.0], [1090.4090576171875, 210.4319610595703, 1150.1954345703125, 388.51702880859375], [1045.721923828125, 131.94947814941406, 1107.4581298828125, 311.7756652832031], [542.9265747070312, 145.3802947998047, 598.8936767578125, 328.0729675292969], [1356.4422607421875, 575.7625732421875, 1440.663330078125, 799.5203247070312], [790.05029296875, 146.14862060546875, 851.637451171875, 325.1861572265625], [269.1982421875, 388.7324523925781, 320.2347717285156, 590.2146606445312], [0.0, 874.9515991210938, 40.995567321777344, 1080.0], [223.9528045654297, 380.4010009765625, 300.0487060546875, 598.7653198242188]]","[0.7783203125, 0.71923828125, 0.66259765625, 0.62841796875, 0.64306640625, 0.347412109375, 0.4501953125, 0.4951171875, 0.44677734375, 0.3291015625, 0.419677734375, 0.3330078125]","[[414.1562042236328, 646.3187866210938], [139.4336280822754, 795.0291748046875], [1768.7285766601562, 680.3016967773438], [1143.1474609375, 1080.0], [1120.30224609375, 388.51702880859375], [1076.5900268554688, 311.7756652832031], [570.9101257324219, 328.0729675292969], [1398.5527954101562, 799.5203247070312], [820.8438720703125, 325.1861572265625], [294.7165069580078, 590.2146606445312], [20.497783660888672, 1080.0], [262.0007553100586, 598.7653198242188]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
5,,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[373.8045654296875, 408.7711486816406, 455.474365234375, 644.9877319335938], [101.90410614013672, 545.744873046875, 176.34669494628906, 795.5680541992188], [1728.0938720703125, 456.7188415527344, 1806.106689453125, 682.38720703125], [1107.681640625, 975.7725830078125, 1184.8172607421875, 1079.4141845703125], [1084.897216796875, 211.34422302246094, 1145.179931640625, 389.30096435546875], [1046.6788330078125, 132.6480712890625, 1106.30126953125, 305.45068359375], [541.6466064453125, 146.3129425048828, 597.2105712890625, 327.2367858886719], [1356.8602294921875, 576.1484375, 1441.167724609375, 800.0610961914062], [790.0956420898438, 146.93487548828125, 851.5413818359375, 325.5924987792969], [268.0931396484375, 384.6003723144531, 320.02154541015625, 589.9820556640625], [0.49096399545669556, 873.6320190429688, 41.77138900756836, 1079.6949462890625], [222.5371551513672, 376.35125732421875, 299.85308837890625, 597.6786499023438]]","[0.7802734375, 0.69921875, 0.67236328125, 0.63037109375, 0.54736328125, 0.3291015625, 0.48388671875, 0.4794921875, 0.464111328125, 0.27197265625, 0.4990234375, 0.3349609375]","[[414.63946533203125, 644.9877319335938], [139.1254005432129, 795.5680541992188], [1767.1002807617188, 682.38720703125], [1146.2494506835938, 1079.4141845703125], [1115.03857421875, 389.30096435546875], [1076.4900512695312, 305.45068359375], [569.4285888671875, 327.2367858886719], [1399.0139770507812, 800.0610961914062], [820.8185119628906, 325.5924987792969], [294.0573425292969, 589.9820556640625], [21.131176501512527, 1079.6949462890625], [261.1951217651367, 597.6786499023438]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
6,,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12]","[[375.168212890625, 407.3365783691406, 456.46002197265625, 642.3118286132812], [102.1093978881836, 545.2117919921875, 176.81491088867188, 796.3536376953125], [1725.087646484375, 455.9833984375, 1803.310546875, 682.767822265625], [1110.6761474609375, 974.9215698242188, 1188.4765625, 1079.794189453125], [1076.9337158203125, 209.29005432128906, 1139.1710205078125, 388.3982238769531], [540.4972534179688, 147.946533203125, 596.2514038085938, 329.1995849609375], [1356.9810791015625, 575.0758666992188, 1441.3492431640625, 799.06689453125], [789.9586791992188, 147.35438537597656, 851.6679077148438, 326.81475830078125], [0.814106822013855, 872.0816650390625, 42.2230110168457, 1078.4071044921875], [222.9914093017578, 382.4712829589844, 298.8841857910156, 598.1900634765625]]","[0.77880859375, 0.7041015625, 0.65966796875, 0.62890625, 0.5107421875, 0.52734375, 0.50927734375, 0.4921875, 0.50634765625, 0.362548828125]","[[415.8141174316406, 642.3118286132812], [139.46215438842773, 796.3536376953125], [1764.1990966796875, 682.767822265625], [1149.5763549804688, 1079.794189453125], [1108.0523681640625, 388.3982238769531], [568.3743286132812, 329.1995849609375], [1399.1651611328125, 799.06689453125], [820.8132934570312, 326.81475830078125], [21.51855891942978, 1078.4071044921875], [260.9377975463867, 598.1900634765625]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
7,,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12]","[[375.686279296875, 405.9757995605469, 456.988525390625, 641.119873046875], [102.16741943359375, 545.8999633789062, 176.69651794433594, 796.9170532226562], [1725.6065673828125, 456.90228271484375, 1800.825927734375, 674.732666015625], [1114.0902099609375, 974.6681518554688, 1191.8154296875, 1079.9329833984375], [1068.8907470703125, 209.60501098632812, 1133.3797607421875, 388.8226623535156], [539.2717895507812, 148.62319946289062, 595.6693115234375, 332.0679626464844], [1357.102294921875, 573.8204345703125, 1441.3187255859375, 797.2714233398438], [790.1102294921875, 147.4966278076172, 851.517822265625, 326.0918884277344], [1.0160630941390991, 871.3212280273438, 42.662471771240234, 1078.2490234375], [221.750244140625, 375.79571533203125, 300.2956237792969, 598.1006469726562]]","[0.76318359375, 0.69873046875, 0.63427734375, 0.6123046875, 0.5185546875, 0.49951171875, 0.5029296875, 0.480224609375, 0.462890625, 0.319580078125]","[[416.33740234375, 641.119873046875], [139.43196868896484, 796.9170532226562], [1763.2162475585938, 674.732666015625], [1152.9528198242188, 1079.9329833984375], [1101.13525390625, 388.8226623535156], [567.4705505371094, 332.0679626464844], [1399.2105102539062, 797.2714233398438], [820.8140258789062, 326.0918884277344], [21.839267432689667, 1078.2490234375], [261.02293395996094, 598.1006469726562]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
8,,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12]","[[376.0291442871094, 403.936279296875, 457.5270080566406, 640.0236206054688], [104.41191101074219, 546.4390258789062, 178.72581481933594, 796.8234252929688], [1725.279052734375, 457.55548095703125, 1798.264404296875, 667.9706420898438], [1118.0933837890625, 975.76220703125, 1194.58642578125, 1079.98388671875], [1066.9918212890625, 211.46665954589844, 1133.0179443359375, 387.8446350097656], [538.8853759765625, 150.5445556640625, 595.4955444335938, 334.78472900390625], [1356.6949462890625, 574.8190307617188, 1440.5928955078125, 797.5145263671875], [790.3319091796875, 148.11700439453125, 851.30078125, 325.2635803222656], [1.0309957265853882, 868.8314208984375, 43.277015686035156, 1078.2078857421875], [220.3352813720703, 374.9190673828125, 298.9662780761719, 596.6591796875]]","[0.759765625, 0.6962890625, 0.671875, 0.59765625, 0.394775390625, 0.52978515625, 0.4951171875, 0.48486328125, 0.306640625, 0.31640625]","[[416.778076171875, 640.0236206054688], [141.56886291503906, 796.8234252929688], [1761.771728515625, 667.9706420898438], [1156.3399047851562, 1079.98388671875], [1100.0048828125, 387.8446350097656], [567.1904602050781, 334.78472900390625], [1398.6439208984375, 797.5145263671875], [820.8163452148438, 325.2635803222656], [22.154005706310272, 1078.2078857421875], [259.6507797241211, 596.6591796875]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
9,,,12,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 18, 13]","[[376.775390625, 402.23577880859375, 458.1761779785156, 638.39453125], [105.04698944091797, 545.49609375, 179.63400268554688, 796.778076171875], [1723.9207763671875, 456.92474365234375, 1796.401123046875, 665.3386840820312], [1121.83056640625, 975.9232788085938, 1197.619140625, 1080.0], [1065.39306640625, 215.73936462402344, 1131.9898681640625, 386.212890625], [539.4038696289062, 152.20025634765625, 595.9923095703125, 336.445556640625], [1356.83984375, 574.9095458984375, 1440.0277099609375, 795.6371459960938], [790.3905029296875, 147.62059020996094, 851.2471313476562, 324.5474853515625], [0.7669330835342407, 865.1648559570312, 43.93776321411133, 1078.768798828125], [219.43292236328125, 365.2562561035156, 300.5716552734375, 593.16259765625], [883.2033081054688, 129.66665649414062, 966.1299438476562, 304.83331298828125], [496.6490478515625, 132.70469665527344, 551.7999877929688, 318.8461608886719]]","[0.75341796875, 0.7109375, 0.68408203125, 0.58935546875, 0.4228515625, 0.576171875, 0.5087890625, 0.47314453125, 0.401611328125, 0.374267578125, 0.338134765625, 0.30908203125]","[[417.4757843017578, 638.39453125], [142.34049606323242, 796.778076171875], [1760.1609497070312, 665.3386840820312], [1159.724853515625, 1080.0], [1098.6914672851562, 386.212890625], [567.6980895996094, 336.445556640625], [1398.4337768554688, 795.6371459960938], [820.8188171386719, 324.5474853515625], [22.352348148822784, 1078.768798828125], [260.0022888183594, 593.16259765625], [924.6666259765625, 304.83331298828125], [524.2245178222656, 318.8461608886719]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
10,,,12,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 18, 13]","[[376.936767578125, 400.9473876953125, 457.906982421875, 636.2921142578125], [105.41831970214844, 545.70947265625, 179.79156494140625, 796.19091796875], [1723.3297119140625, 455.84686279296875, 1795.9527587890625, 664.197021484375], [1124.4029541015625, 976.004150390625, 1199.54541015625, 1080.0], [1063.4915771484375, 216.4361572265625, 1132.2239990234375, 385.3502197265625], [538.6016235351562, 153.18753051757812, 595.55322265625, 339.39764404296875], [1356.437255859375, 573.8136596679688, 1440.2762451171875, 796.1080932617188], [790.072998046875, 147.43157958984375, 851.56884765625, 326.56396484375], [0.7455963492393494, 862.4761962890625, 44.394325256347656, 1078.1527099609375], [217.9097137451172, 360.1142883300781, 300.1696472167969, 590.2276611328125], [884.0111083984375, 129.92311096191406, 967.1173095703125, 305.6026611328125], [496.3543395996094, 134.01617431640625, 551.5510864257812, 319.22894287109375]]","[0.75732421875, 0.71142578125, 0.65576171875, 0.56298828125, 0.4375, 0.54541015625, 0.509765625, 0.476806640625, 0.408203125, 0.40673828125, 0.390869140625, 0.29345703125]","[[417.421875, 636.2921142578125], [142.60494232177734, 796.19091796875], [1759.6412353515625, 664.197021484375], [1161.9741821289062, 1080.0], [1097.8577880859375, 385.3502197265625], [567.0774230957031, 339.39764404296875], [1398.3567504882812, 796.1080932617188], [820.8209228515625, 326.56396484375], [22.569960802793503, 1078.1527099609375], [259.03968048095703, 590.2276611328125], [925.564208984375, 305.6026611328125], [523.9527130126953, 319.22894287109375]]",425377792,410927104,425377792,576,yolo26n_fp16_576_ncnn_model,MOT17-04
