frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1695.75, 388.5, 1862.25, 729.0], [1255.875, 539.25, 1315.125, 656.25], [1290.0, 460.875, 1359.0, 658.125], [0.09375, 341.4375, 119.90625, 897.5625], [247.5, 456.0, 354.0, 705.0], [119.765625, 505.5, 201.984375, 744.0], [1888.5, 392.625, 1918.5, 564.375], [860.25, 523.5, 900.75, 628.5], [45.1875, 511.125, 116.0625, 748.875]]","[0.87890625, 0.810546875, 0.80908203125, 0.8076171875, 0.7734375, 0.52783203125, 0.451416015625, 0.268310546875, 0.26416015625]","[[1779.0, 729.0], [1285.5, 656.25], [1324.5, 658.125], [60.0, 897.5625], [300.75, 705.0], [160.875, 744.0], [1903.5, 564.375], [880.5, 628.5], [80.625, 748.875]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
2,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1690.106201171875, 386.8729248046875, 1857.4805908203125, 729.325439453125], [1257.820068359375, 539.9008178710938, 1317.0848388671875, 656.9008178710938], [1291.1304931640625, 460.22418212890625, 1360.4727783203125, 658.7758178710938], [0.0, 335.0919494628906, 120.39948272705078, 898.701416015625], [249.83673095703125, 456.0, 356.869873046875, 706.3016357421875], [116.53719329833984, 509.0795593261719, 197.5655975341797, 744.325439453125], [1886.1954345703125, 386.442138671875, 1918.2012939453125, 569.2562255859375], [859.9671630859375, 524.4762573242188, 899.7311401367188, 627.5237426757812]]","[0.8828125, 0.79052734375, 0.79248046875, 0.8583984375, 0.74169921875, 0.642578125, 0.4931640625, 0.254150390625]","[[1773.7933959960938, 729.325439453125], [1287.4524536132812, 656.9008178710938], [1325.8016357421875, 658.7758178710938], [60.19974136352539, 898.701416015625], [303.3533020019531, 706.3016357421875], [157.05139541625977, 744.325439453125], [1902.1983642578125, 569.2562255859375], [879.8491516113281, 627.5237426757812]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
3,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.71923828125, 386.3023681640625, 1854.416259765625, 729.6728515625], [1258.4940185546875, 541.181640625, 1317.0797119140625, 657.0122680664062], [1291.989990234375, 460.1125793457031, 1361.2257080078125, 658.8873901367188], [0.0, 325.8635559082031, 122.95502471923828, 900.0596923828125], [256.49505615234375, 456.87506103515625, 363.06341552734375, 706.8164672851562], [120.20832824707031, 509.10321044921875, 201.55526733398438, 744.9690551757812], [1883.4989013671875, 386.2259521484375, 1915.89404296875, 570.3854370117188]]","[0.876953125, 0.76416015625, 0.779296875, 0.87451171875, 0.73046875, 0.6689453125, 0.4951171875]","[[1770.5677490234375, 729.6728515625], [1287.786865234375, 657.0122680664062], [1326.6078491210938, 658.8873901367188], [61.47751235961914, 900.0596923828125], [309.77923583984375, 706.8164672851562], [160.88179779052734, 744.9690551757812], [1899.6964721679688, 570.3854370117188]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
4,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1684.6993408203125, 386.72314453125, 1852.305419921875, 730.3477172851562], [1259.9432373046875, 542.145751953125, 1318.0670166015625, 657.6101684570312], [1295.1861572265625, 460.08941650390625, 1364.2056884765625, 658.9105834960938], [0.0, 279.33428955078125, 128.8815155029297, 900.0496215820312], [257.56048583984375, 455.7203063964844, 363.9529724121094, 706.0960083007812], [121.92638397216797, 509.0485534667969, 203.48072814941406, 745.1621704101562], [1882.283447265625, 384.5928955078125, 1915.475341796875, 572.354736328125], [860.4278564453125, 524.2955932617188, 900.3811645507812, 627.7044067382812]]","[0.87353515625, 0.7578125, 0.77001953125, 0.90869140625, 0.7685546875, 0.6943359375, 0.51318359375, 0.306640625]","[[1768.5023803710938, 730.3477172851562], [1289.005126953125, 657.6101684570312], [1329.6959228515625, 658.9105834960938], [64.44075775146484, 900.0496215820312], [310.75672912597656, 706.0960083007812], [162.70355606079102, 745.1621704101562], [1898.87939453125, 572.354736328125], [880.4045104980469, 627.7044067382812]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
5,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.6583251953125, 386.88568115234375, 1851.0474853515625, 732.763427734375], [1261.195556640625, 541.8600463867188, 1318.64794921875, 657.2359008789062], [1297.8179931640625, 459.8136291503906, 1366.8143310546875, 659.1864013671875], [0.0, 251.05001831054688, 139.19691467285156, 901.4739379882812], [259.591796875, 456.9880065917969, 364.96795654296875, 706.3956298828125], [123.27737426757812, 517.8583374023438, 202.06488037109375, 745.2057495117188], [1883.0283203125, 382.4776306152344, 1916.4901123046875, 570.2283325195312]]","[0.87353515625, 0.7099609375, 0.7802734375, 0.8818359375, 0.78173828125, 0.61962890625, 0.5966796875]","[[1766.8529052734375, 732.763427734375], [1289.9217529296875, 657.2359008789062], [1332.316162109375, 659.1864013671875], [69.59845733642578, 901.4739379882812], [312.2798767089844, 706.3956298828125], [162.67112731933594, 745.2057495117188], [1899.7592163085938, 570.2283325195312]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
6,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.1170654296875, 387.4821472167969, 1850.6806640625, 735.1586303710938], [1263.9005126953125, 540.9218139648438, 1320.7886962890625, 656.8283081054688], [1299.1832275390625, 459.4582824707031, 1368.135498046875, 659.541748046875], [0.0, 239.07493591308594, 142.19883728027344, 902.4876708984375], [260.78082275390625, 457.689697265625, 365.0981140136719, 706.2266845703125], [123.09590911865234, 511.7528991699219, 204.24258422851562, 745.4765625], [1879.8369140625, 359.49365234375, 1918.2845458984375, 574.7251586914062]]","[0.87060546875, 0.75439453125, 0.78955078125, 0.8828125, 0.779296875, 0.658203125, 0.5927734375]","[[1766.3988647460938, 735.1586303710938], [1292.3446044921875, 656.8283081054688], [1333.6593627929688, 659.541748046875], [71.09941864013672, 902.4876708984375], [312.93946838378906, 706.2266845703125], [163.66924667358398, 745.4765625], [1899.0607299804688, 574.7251586914062]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
7,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.296630859375, 387.9552001953125, 1850.3648681640625, 736.7367553710938], [1266.23681640625, 539.5281372070312, 1323.2052001953125, 657.73291015625], [1301.3646240234375, 457.5083312988281, 1370.917724609375, 660.4441528320312], [2.099409580230713, 231.13446044921875, 147.24696350097656, 905.3696899414062], [263.47161865234375, 457.9211120605469, 366.6131896972656, 706.1641235351562], [122.61541748046875, 521.9505615234375, 200.62802124023438, 745.8216552734375], [1876.2030029296875, 348.7725830078125, 1917.5247802734375, 579.0829467773438]]","[0.873046875, 0.73974609375, 0.7451171875, 0.88720703125, 0.7822265625, 0.62451171875, 0.6923828125]","[[1766.3307495117188, 736.7367553710938], [1294.7210083007812, 657.73291015625], [1336.1411743164062, 660.4441528320312], [74.67318654060364, 905.3696899414062], [315.0424041748047, 706.1641235351562], [161.62171936035156, 745.8216552734375], [1896.8638916015625, 579.0829467773438]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
8,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.6820068359375, 388.378662109375, 1850.0767822265625, 738.0181274414062], [1269.4208984375, 540.0535278320312, 1324.696533203125, 657.0292358398438], [1304.40380859375, 457.0771484375, 1373.618408203125, 659.4758911132812], [6.726734638214111, 225.88352966308594, 154.4775848388672, 906.54296875], [265.314208984375, 457.2110595703125, 367.39752197265625, 705.8817138671875], [120.95675659179688, 517.7155151367188, 200.39599609375, 745.4046020507812], [1874.570556640625, 344.99444580078125, 1917.4395751953125, 582.4749145507812]]","[0.86181640625, 0.71875, 0.75439453125, 0.876953125, 0.80712890625, 0.62890625, 0.70849609375]","[[1766.37939453125, 738.0181274414062], [1297.0587158203125, 657.0292358398438], [1339.0111083984375, 659.4758911132812], [80.60215973854065, 906.54296875], [316.3558654785156, 705.8817138671875], [160.67637634277344, 745.4046020507812], [1896.0050659179688, 582.4749145507812]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
9,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.395751953125, 389.5450439453125, 1851.5889892578125, 738.4273681640625], [1271.4605712890625, 540.2567749023438, 1326.288818359375, 658.8081665039062], [1306.8138427734375, 456.68914794921875, 1376.2073974609375, 659.358154296875], [7.993675231933594, 222.66802978515625, 157.7385711669922, 906.9379272460938], [268.79730224609375, 457.9642028808594, 368.5419006347656, 704.7562866210938], [120.8711929321289, 518.234619140625, 200.065673828125, 745.2539672851562], [1873.6422119140625, 344.06549072265625, 1917.7637939453125, 587.3922119140625]]","[0.87353515625, 0.701171875, 0.7890625, 0.8818359375, 0.71337890625, 0.63427734375, 0.72021484375]","[[1768.4923706054688, 738.4273681640625], [1298.8746948242188, 658.8081665039062], [1341.5106201171875, 659.358154296875], [82.86612319946289, 906.9379272460938], [318.6696014404297, 704.7562866210938], [160.46843338012695, 745.2539672851562], [1895.7030029296875, 587.3922119140625]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
10,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.770263671875, 388.95306396484375, 1850.8154296875, 741.5595703125], [1274.354248046875, 540.58447265625, 1328.637939453125, 660.2095336914062], [1312.0301513671875, 456.82110595703125, 1381.765625, 659.057373046875], [11.001562118530273, 223.72886657714844, 161.91078186035156, 904.4308471679688], [270.799560546875, 457.4701843261719, 368.8416442871094, 704.0904541015625], [121.40258026123047, 517.5995483398438, 200.64393615722656, 744.937744140625], [1872.008544921875, 347.96563720703125, 1917.2861328125, 594.9456787109375]]","[0.87744140625, 0.71728515625, 0.779296875, 0.90478515625, 0.7568359375, 0.625, 0.712890625]","[[1767.2928466796875, 741.5595703125], [1301.49609375, 660.2095336914062], [1346.8978881835938, 659.057373046875], [86.45617198944092, 904.4308471679688], [319.8206024169922, 704.0904541015625], [161.02325820922852, 744.937744140625], [1894.6473388671875, 594.9456787109375]]",425361408,410894336,425361408,640,yolo26m_fp16_640_ncnn_model,MOT17-09
