frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1699.5, 390.375, 1861.5, 728.625], [0.0, 339.75, 118.6875, 899.25], [1289.625, 460.5, 1353.375, 657.0], [1254.75, 537.375, 1311.75, 656.625], [257.4375, 456.0, 353.0625, 703.5], [1889.25, 394.875, 1920.0, 577.125], [116.25, 504.0, 209.25, 744.0]]","[0.86328125, 0.8203125, 0.81005859375, 0.7421875, 0.67578125, 0.65625, 0.48486328125]","[[1780.5, 728.625], [59.34375, 899.25], [1321.5, 657.0], [1283.25, 656.625], [305.25, 703.5], [1904.625, 577.125], [162.75, 744.0]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
2,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1692.584228515625, 389.72418212890625, 1855.3992919921875, 729.2758178710938], [0.0, 334.8688049316406, 119.92884063720703, 901.5278930664062], [1293.00439453125, 461.4762268066406, 1356.50390625, 657.325439453125], [1257.0491943359375, 536.7241821289062, 1314.6573486328125, 657.2758178710938], [259.9724426269531, 455.34918212890625, 356.0596008300781, 704.1508178710938], [1886.27685546875, 388.3667297363281, 1918.4173583984375, 578.4266357421875], [111.03610229492188, 511.4844970703125, 200.95924377441406, 744.325439453125]]","[0.861328125, 0.85546875, 0.79931640625, 0.74853515625, 0.69921875, 0.60205078125, 0.59619140625]","[[1773.9917602539062, 729.2758178710938], [59.964420318603516, 901.5278930664062], [1324.754150390625, 657.325439453125], [1285.853271484375, 657.2758178710938], [308.0160217285156, 704.1508178710938], [1902.3471069335938, 578.4266357421875], [155.99767303466797, 744.325439453125]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
3,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1689.0556640625, 389.90447998046875, 1852.0272216796875, 729.0955200195312], [0.0, 321.81890869140625, 121.53714752197266, 900.1742553710938], [1293.8651123046875, 460.76513671875, 1357.92822265625, 658.2593383789062], [1258.0562744140625, 537.7764892578125, 1315.707763671875, 658.5514526367188], [263.38348388671875, 456.696044921875, 358.84722900390625, 703.970703125], [1884.3858642578125, 385.2343444824219, 1917.2255859375, 578.364013671875], [113.83130645751953, 509.5036315917969, 204.4476776123047, 744.0848388671875]]","[0.84814453125, 0.853515625, 0.78662109375, 0.72607421875, 0.736328125, 0.64697265625, 0.60595703125]","[[1770.5414428710938, 729.0955200195312], [60.76857376098633, 900.1742553710938], [1325.8966674804688, 658.2593383789062], [1286.8820190429688, 658.5514526367188], [311.1153564453125, 703.970703125], [1900.8057250976562, 578.364013671875], [159.1394920349121, 744.0848388671875]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
4,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.1868896484375, 388.82867431640625, 1849.3851318359375, 730.1713256835938], [2.992337465286255, 308.1280517578125, 128.33433532714844, 898.0070190429688], [1295.9901123046875, 461.6661071777344, 1359.826171875, 658.5458984375], [1258.666259765625, 537.8377685546875, 1317.9371337890625, 662.6551513671875], [264.1334533691406, 457.993896484375, 359.0855407714844, 704.1883544921875], [1883.5067138671875, 382.9175720214844, 1917.17529296875, 579.7269287109375], [114.76871490478516, 509.3570251464844, 205.05657958984375, 743.4336547851562]]","[0.8525390625, 0.8427734375, 0.77587890625, 0.7138671875, 0.75732421875, 0.57470703125, 0.61376953125]","[[1767.2860107421875, 730.1713256835938], [65.66333639621735, 898.0070190429688], [1327.9081420898438, 658.5458984375], [1288.3016967773438, 662.6551513671875], [311.6094970703125, 704.1883544921875], [1900.3410034179688, 579.7269287109375], [159.91264724731445, 743.4336547851562]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
5,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.9947509765625, 387.93389892578125, 1847.54541015625, 729.9635009765625], [1.6793767213821411, 260.6509094238281, 137.83578491210938, 901.387451171875], [1298.2142333984375, 461.1371765136719, 1362.1103515625, 658.3353271484375], [1262.362548828125, 538.6561279296875, 1319.4266357421875, 659.8782348632812], [264.7695007324219, 457.54736328125, 359.6815185546875, 703.9791259765625], [1882.029296875, 380.9136047363281, 1916.2772216796875, 579.3551025390625], [114.29725646972656, 518.7329711914062, 200.56524658203125, 743.7833862304688]]","[0.81591796875, 0.88720703125, 0.80517578125, 0.68603515625, 0.76416015625, 0.69677734375, 0.55615234375]","[[1765.2700805664062, 729.9635009765625], [69.75758081674576, 901.387451171875], [1330.1622924804688, 658.3353271484375], [1290.8945922851562, 659.8782348632812], [312.2255096435547, 703.9791259765625], [1899.1532592773438, 579.3551025390625], [157.4312515258789, 743.7833862304688]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
6,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.754150390625, 388.1878967285156, 1847.6982421875, 733.6234130859375], [4.205497741699219, 238.71682739257812, 145.74781799316406, 902.3113403320312], [1301.177734375, 461.48724365234375, 1364.8140869140625, 657.7103271484375], [1264.124267578125, 538.6552734375, 1321.500244140625, 662.2891845703125], [266.26220703125, 457.36328125, 360.89501953125, 703.9056396484375], [1881.08056640625, 376.100341796875, 1916.4854736328125, 579.1969604492188], [117.03099822998047, 522.122802734375, 201.73626708984375, 743.6426391601562]]","[0.796875, 0.91748046875, 0.7939453125, 0.5791015625, 0.7626953125, 0.66064453125, 0.6005859375]","[[1764.7261962890625, 733.6234130859375], [74.97665786743164, 902.3113403320312], [1332.9959106445312, 657.7103271484375], [1292.812255859375, 662.2891845703125], [313.57861328125, 703.9056396484375], [1898.7830200195312, 579.1969604492188], [159.3836326599121, 743.6426391601562]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
7,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.615234375, 389.34307861328125, 1846.5872802734375, 735.93017578125], [3.532585859298706, 229.11302185058594, 147.3518829345703, 901.8934936523438], [1302.9739990234375, 460.8194274902344, 1366.9381103515625, 658.271728515625], [1269.2396240234375, 546.1875610351562, 1321.753662109375, 660.7450561523438], [269.7315368652344, 457.2799987792969, 363.5169677734375, 703.8800048828125], [1877.6112060546875, 366.247314453125, 1915.6461181640625, 581.1875610351562], [117.44344329833984, 527.6688842773438, 199.56748962402344, 743.3329467773438]]","[0.814453125, 0.9267578125, 0.8134765625, 0.46875, 0.77294921875, 0.67333984375, 0.59521484375]","[[1763.6012573242188, 735.93017578125], [75.44223439693451, 901.8934936523438], [1334.9560546875, 658.271728515625], [1295.4966430664062, 660.7450561523438], [316.62425231933594, 703.8800048828125], [1896.628662109375, 581.1875610351562], [158.50546646118164, 743.3329467773438]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
8,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.28515625, 390.03265380859375, 1851.5894775390625, 737.4865112304688], [4.911889553070068, 223.55055236816406, 150.78121948242188, 902.59228515625], [1305.4029541015625, 460.5797424316406, 1369.8687744140625, 658.46923828125], [1271.18359375, 545.2107543945312, 1323.677001953125, 661.695068359375], [272.97857666015625, 457.4964294433594, 365.43585205078125, 703.6128540039062], [1876.7664794921875, 372.4460754394531, 1914.964111328125, 584.1492919921875], [115.4588394165039, 520.4459838867188, 199.86444091796875, 743.76025390625]]","[0.8271484375, 0.93115234375, 0.81640625, 0.429443359375, 0.73681640625, 0.705078125, 0.5751953125]","[[1768.4373168945312, 737.4865112304688], [77.84655451774597, 902.59228515625], [1337.6358642578125, 658.46923828125], [1297.4302978515625, 661.695068359375], [319.20721435546875, 703.6128540039062], [1895.8652954101562, 584.1492919921875], [157.66164016723633, 743.76025390625]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
9,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.772216796875, 390.28680419921875, 1850.6824951171875, 740.036376953125], [7.891817569732666, 222.10171508789062, 155.31060791015625, 901.9738159179688], [1308.19091796875, 459.2192077636719, 1373.9683837890625, 659.8115234375], [1272.71044921875, 542.7957153320312, 1325.4306640625, 662.0035400390625], [277.59375, 458.589599609375, 367.9317321777344, 703.5169067382812], [1875.6239013671875, 374.6186218261719, 1915.136474609375, 589.8143310546875], [115.56359100341797, 514.0567016601562, 201.72994995117188, 743.6555786132812]]","[0.81982421875, 0.927734375, 0.8193359375, 0.556640625, 0.6767578125, 0.73046875, 0.64990234375]","[[1767.2273559570312, 740.036376953125], [81.60121273994446, 901.9738159179688], [1341.0796508789062, 659.8115234375], [1299.070556640625, 662.0035400390625], [322.7627410888672, 703.5169067382812], [1895.3801879882812, 589.8143310546875], [158.64677047729492, 743.6555786132812]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
10,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.39794921875, 389.8731384277344, 1848.1898193359375, 741.4263305664062], [12.438981056213379, 221.5120391845703, 161.97293090820312, 900.4805908203125], [1312.765625, 458.7245178222656, 1378.8167724609375, 658.2823486328125], [1275.8319091796875, 540.3584594726562, 1329.4278564453125, 663.6084594726562], [278.419677734375, 455.6727294921875, 367.7752380371094, 701.7035522460938], [1874.1197509765625, 376.9979248046875, 1914.85498046875, 594.367919921875], [116.91436004638672, 513.9033203125, 202.50291442871094, 743.3670654296875]]","[0.7998046875, 0.91943359375, 0.65283203125, 0.642578125, 0.56884765625, 0.759765625, 0.461181640625]","[[1764.7938842773438, 741.4263305664062], [87.20595598220825, 900.4805908203125], [1345.7911987304688, 658.2823486328125], [1302.6298828125, 663.6084594726562], [323.0974578857422, 701.7035522460938], [1894.4873657226562, 594.367919921875], [159.70863723754883, 743.3670654296875]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
11,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1673.5328369140625, 389.9659729003906, 1838.2581787109375, 742.634765625], [12.698381423950195, 221.38502502441406, 164.30653381347656, 900.4025268554688], [1314.6954345703125, 457.79681396484375, 1382.2257080078125, 659.4575805664062], [1278.5374755859375, 540.4253540039062, 1331.2349853515625, 663.191650390625], [277.4471740722656, 455.3465881347656, 365.8136291503906, 701.2936401367188], [1871.81591796875, 376.9838562011719, 1914.5726318359375, 600.989990234375], [116.65531158447266, 510.3119201660156, 202.93148803710938, 743.7643432617188], [1310.625, 460.125, 1362.375, 655.875]]","[0.8056640625, 0.9267578125, 0.69580078125, 0.53369140625, 0.548828125, 0.7607421875, 0.56494140625, 0.384033203125]","[[1755.8955078125, 742.634765625], [88.50245761871338, 900.4025268554688], [1348.4605712890625, 659.4575805664062], [1304.88623046875, 663.191650390625], [321.6304016113281, 701.2936401367188], [1893.1942749023438, 600.989990234375], [159.79339981079102, 743.7643432617188], [1336.5, 655.875]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
12,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1669.0975341796875, 388.7502136230469, 1832.117919921875, 743.2767333984375], [13.645907402038574, 223.81741333007812, 167.1268768310547, 900.3739013671875], [1316.56640625, 458.2139587402344, 1385.1407470703125, 660.1396484375], [1280.1993408203125, 539.6920166015625, 1333.09912109375, 664.7481689453125], [279.038330078125, 455.7332458496094, 366.2516784667969, 701.6572265625], [1869.314697265625, 370.8927917480469, 1915.66357421875, 610.5375366210938], [114.59822845458984, 508.23211669921875, 200.43133544921875, 743.6651000976562], [1309.438232421875, 460.99212646484375, 1361.24951171875, 657.3201904296875]]","[0.80517578125, 0.927734375, 0.71484375, 0.6123046875, 0.5, 0.72705078125, 0.38427734375, 0.4794921875]","[[1750.6077270507812, 743.2767333984375], [90.38639211654663, 900.3739013671875], [1350.8535766601562, 660.1396484375], [1306.6492309570312, 664.7481689453125], [322.64500427246094, 701.6572265625], [1892.4891357421875, 610.5375366210938], [157.5147819519043, 743.6651000976562], [1335.3438720703125, 657.3201904296875]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
13,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1671.209716796875, 387.5464172363281, 1834.1683349609375, 744.2083129882812], [13.8349609375, 226.67813110351562, 173.27586364746094, 918.72314453125], [1318.493896484375, 459.13604736328125, 1387.7918701171875, 660.6370239257812], [1281.0140380859375, 538.9190063476562, 1332.472412109375, 662.83349609375], [277.1746520996094, 454.1300964355469, 365.2590637207031, 703.5591430664062], [1866.1009521484375, 362.3526306152344, 1916.9405517578125, 623.2454223632812], [113.06305694580078, 500.2550354003906, 200.6061553955078, 743.8770141601562], [1311.8343505859375, 464.7781982421875, 1362.740478515625, 657.803955078125]]","[0.78662109375, 0.93408203125, 0.70361328125, 0.62548828125, 0.390625, 0.73681640625, 0.5419921875, 0.474853515625]","[[1752.6890258789062, 744.2083129882812], [93.55541229248047, 918.72314453125], [1353.1428833007812, 660.6370239257812], [1306.7432250976562, 662.83349609375], [321.21685791015625, 703.5591430664062], [1891.520751953125, 623.2454223632812], [156.8346061706543, 743.8770141601562], [1337.2874145507812, 657.803955078125]]",425394176,410910720,425394176,640,yolo26s_fp16_640_ncnn_model,MOT17-09
