frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,5,"[1, 2, 3, 4, 5]","[[1338.75, 417.0, 1499.25, 781.5], [584.8125, 443.625, 676.6875, 708.375], [1453.5, 428.625, 1594.5, 768.375], [438.0, 451.125, 556.5, 724.875], [730.5, 457.125, 768.0, 568.875]]","[0.7529296875, 0.591796875, 0.59033203125, 0.5244140625, 0.431640625]","[[1419.0, 781.5], [630.75, 708.375], [1524.0, 768.375], [497.25, 724.875], [749.25, 568.875]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
2,,,5,"[1, 2, 3, 4, 5]","[[1339.3720703125, 404.959716796875, 1505.1361083984375, 781.825439453125], [585.2372436523438, 443.9504089355469, 676.91357421875, 708.049560546875], [1458.16748046875, 435.7840881347656, 1597.6424560546875, 771.629150390625], [436.3353271484375, 449.4979248046875, 556.2122192382812, 726.5020751953125], [731.9015502929688, 463.307861328125, 767.900146484375, 570.5020751953125]]","[0.78271484375, 0.6201171875, 0.54638671875, 0.6015625, 0.405029296875]","[[1422.2540893554688, 781.825439453125], [631.0754089355469, 708.049560546875], [1527.9049682617188, 771.629150390625], [496.2737731933594, 726.5020751953125], [749.9008483886719, 570.5020751953125]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
3,,,5,"[1, 2, 3, 4, 5]","[[1346.2755126953125, 417.5845642089844, 1512.03466796875, 793.6978149414062], [585.1309814453125, 447.51776123046875, 676.5459594726562, 710.3349609375], [1470.412109375, 441.1205139160156, 1607.88330078125, 772.77294921875], [435.2426452636719, 446.600830078125, 557.5515747070312, 729.399169921875], [732.7888793945312, 464.3596496582031, 767.8290405273438, 568.3994750976562]]","[0.81982421875, 0.62060546875, 0.6328125, 0.6396484375, 0.391357421875]","[[1429.1550903320312, 793.6978149414062], [630.8384704589844, 710.3349609375], [1539.147705078125, 772.77294921875], [496.39710998535156, 729.399169921875], [750.3089599609375, 568.3994750976562]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
4,,,5,"[1, 2, 3, 4, 5]","[[1352.9609375, 417.6761169433594, 1521.1142578125, 798.4190063476562], [584.070068359375, 447.4783630371094, 676.2984619140625, 712.2034912109375], [1473.071533203125, 429.0675354003906, 1614.3284912109375, 771.6220092773438], [436.68548583984375, 442.8788757324219, 557.3514404296875, 721.819091796875], [733.0283203125, 462.8022766113281, 768.9783935546875, 569.50244140625]]","[0.81005859375, 0.6162109375, 0.6181640625, 0.65576171875, 0.39697265625]","[[1437.03759765625, 798.4190063476562], [630.1842651367188, 712.2034912109375], [1543.7000122070312, 771.6220092773438], [497.0184631347656, 721.819091796875], [751.0033569335938, 569.50244140625]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
5,,,5,"[1, 2, 3, 4, 5]","[[1354.4586181640625, 410.6764221191406, 1526.5499267578125, 801.0538940429688], [584.1389770507812, 445.1768798828125, 676.923095703125, 711.6453857421875], [1474.1002197265625, 420.5079650878906, 1617.9044189453125, 772.586669921875], [439.1413269042969, 441.19244384765625, 559.7515258789062, 719.7677612304688], [733.634765625, 463.1069030761719, 769.3245849609375, 569.0354614257812]]","[0.79931640625, 0.6259765625, 0.6474609375, 0.63818359375, 0.376953125]","[[1440.5042724609375, 801.0538940429688], [630.5310363769531, 711.6453857421875], [1546.0023193359375, 772.586669921875], [499.44642639160156, 719.7677612304688], [751.4796752929688, 569.0354614257812]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
6,,,5,"[1, 2, 3, 4, 5]","[[1357.4969482421875, 409.51617431640625, 1529.6695556640625, 801.4769287109375], [583.7865600585938, 445.425537109375, 676.9994506835938, 713.5364990234375], [1477.91748046875, 416.0790100097656, 1621.5250244140625, 772.3826293945312], [442.91473388671875, 435.36962890625, 566.15966796875, 720.239013671875], [733.2407836914062, 459.68408203125, 769.9917602539062, 569.1484375]]","[0.79736328125, 0.59765625, 0.64892578125, 0.5830078125, 0.397216796875]","[[1443.583251953125, 801.4769287109375], [630.3930053710938, 713.5364990234375], [1549.7212524414062, 772.3826293945312], [504.5372009277344, 720.239013671875], [751.6162719726562, 569.1484375]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
7,,,5,"[1, 2, 3, 4, 5]","[[1362.4097900390625, 411.9688415527344, 1532.7393798828125, 802.7078247070312], [585.4442749023438, 445.50946044921875, 678.913330078125, 714.162841796875], [1483.111328125, 420.1202392578125, 1622.7236328125, 772.0299072265625], [441.5147399902344, 441.2266540527344, 564.7835693359375, 725.1411743164062], [733.1852416992188, 461.36138916015625, 770.1119995117188, 571.5263061523438]]","[0.79638671875, 0.60888671875, 0.68017578125, 0.65478515625, 0.421630859375]","[[1447.5745849609375, 802.7078247070312], [632.1788024902344, 714.162841796875], [1552.91748046875, 772.0299072265625], [503.14915466308594, 725.1411743164062], [751.6486206054688, 571.5263061523438]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
8,,,5,"[1, 2, 3, 4, 5]","[[1373.1739501953125, 411.3372802734375, 1540.9180908203125, 801.4498901367188], [585.86572265625, 444.76177978515625, 678.7531127929688, 712.0228271484375], [1484.3040771484375, 416.92169189453125, 1623.4305419921875, 773.6901245117188], [445.0289001464844, 438.62158203125, 566.7711791992188, 719.5242919921875], [732.93798828125, 462.0058898925781, 769.8323974609375, 572.4014892578125]]","[0.736328125, 0.6162109375, 0.68115234375, 0.650390625, 0.414794921875]","[[1457.0460205078125, 801.4498901367188], [632.3094177246094, 712.0228271484375], [1553.8673095703125, 773.6901245117188], [505.90003967285156, 719.5242919921875], [751.3851928710938, 572.4014892578125]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
9,,,5,"[1, 2, 3, 4, 5]","[[1383.0919189453125, 406.0118103027344, 1549.7701416015625, 800.8601684570312], [584.9789428710938, 442.18328857421875, 678.688232421875, 711.455078125], [1488.4271240234375, 415.6045227050781, 1625.7822265625, 774.537109375], [447.3784484863281, 438.7554016113281, 568.8785400390625, 719.529052734375], [732.8453979492188, 461.48614501953125, 769.70458984375, 571.4329223632812]]","[0.69091796875, 0.62646484375, 0.64111328125, 0.6669921875, 0.40087890625]","[[1466.4310302734375, 800.8601684570312], [631.8335876464844, 711.455078125], [1557.1046752929688, 774.537109375], [508.1284942626953, 719.529052734375], [751.2749938964844, 571.4329223632812]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
10,,,5,"[1, 2, 3, 4, 5]","[[1396.6436767578125, 414.3614501953125, 1554.80029296875, 796.28515625], [584.1404418945312, 439.22314453125, 679.1610107421875, 712.2426147460938], [1491.44287109375, 412.96575927734375, 1628.9041748046875, 777.0977783203125], [450.609130859375, 435.5665283203125, 573.241455078125, 719.8250122070312], [733.4276123046875, 462.3077697753906, 770.0352172851562, 571.053955078125]]","[0.69384765625, 0.64501953125, 0.60302734375, 0.63037109375, 0.369140625]","[[1475.7219848632812, 796.28515625], [631.6507263183594, 712.2426147460938], [1560.1735229492188, 777.0977783203125], [511.92529296875, 719.8250122070312], [751.7314147949219, 571.053955078125]]",425394176,410943488,425394176,640,yolo26n_int8_640_ncnn_model,MOT17-02
