frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1699.583251953125, 383.75, 1863.7498779296875, 726.25], [1290.41650390625, 457.9166259765625, 1356.2498779296875, 658.75], [0.0, 338.33331298828125, 110.83332824707031, 908.3333129882812], [252.91664123535156, 449.16668701171875, 352.5, 705.8333740234375], [1252.083251953125, 538.3333129882812, 1314.583251953125, 658.3333129882812], [122.23957824707031, 500.0, 213.59373474121094, 745.0], [1884.999755859375, 393.33331298828125, 1918.3331298828125, 568.3333129882812]]","[0.8193359375, 0.65234375, 0.650390625, 0.6220703125, 0.560546875, 0.447509765625, 0.283203125]","[[1781.6665649414062, 726.25], [1323.3331909179688, 658.75], [55.416664123535156, 908.3333129882812], [302.7083206176758, 705.8333740234375], [1283.333251953125, 658.3333129882812], [167.91665649414062, 745.0], [1901.6664428710938, 568.3333129882812]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
2,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1691.4803466796875, 384.8346862792969, 1857.389892578125, 730.9503784179688], [1291.2965087890625, 459.0013427734375, 1356.81640625, 659.1115112304688], [2.5326344966888428, 341.2258605957031, 112.63953399658203, 906.8870239257812], [258.9710388183594, 455.3133544921875, 355.48486328125, 704.0255126953125], [1255.7562255859375, 537.6101684570312, 1318.141845703125, 657.6101684570312], [118.40996551513672, 503.2541198730469, 208.92645263671875, 746.084716796875], [1882.6123046875, 387.7289733886719, 1917.828369140625, 572.4913940429688]]","[0.8095703125, 0.68701171875, 0.76806640625, 0.6728515625, 0.52197265625, 0.487548828125, 0.35595703125]","[[1774.4351196289062, 730.9503784179688], [1324.0564575195312, 659.1115112304688], [57.58608424663544, 906.8870239257812], [307.2279510498047, 704.0255126953125], [1286.9490356445312, 657.6101684570312], [163.66820907592773, 746.084716796875], [1900.2203369140625, 572.4913940429688]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
3,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1689.9825439453125, 383.4039306640625, 1856.4063720703125, 730.7866821289062], [1292.36328125, 459.1870422363281, 1357.2984619140625, 657.8721923828125], [4.0247483253479, 328.68634033203125, 116.77751159667969, 906.6395874023438], [260.89031982421875, 457.0188903808594, 358.3968200683594, 708.3247680664062], [1255.85595703125, 538.7855834960938, 1317.9813232421875, 658.7855834960938], [118.60308837890625, 507.39697265625, 206.62806701660156, 743.9879760742188], [1881.78271484375, 385.3324890136719, 1918.158203125, 575.9072265625]]","[0.79052734375, 0.646484375, 0.748046875, 0.6474609375, 0.55419921875, 0.5537109375, 0.4169921875]","[[1773.1944580078125, 730.7866821289062], [1324.8308715820312, 657.8721923828125], [60.401129961013794, 906.6395874023438], [309.64356994628906, 708.3247680664062], [1286.9186401367188, 658.7855834960938], [162.6155776977539, 743.9879760742188], [1899.970458984375, 575.9072265625]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
4,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1687.584228515625, 385.1469421386719, 1853.2161865234375, 730.9639282226562], [1294.144287109375, 459.5440673828125, 1358.52880859375, 657.159423828125], [1.9648679494857788, 281.7506408691406, 124.45983123779297, 909.2619018554688], [262.31610107421875, 459.34661865234375, 358.60980224609375, 707.746826171875], [1259.037109375, 540.7576904296875, 1319.737060546875, 658.8495483398438], [118.6076889038086, 504.7384338378906, 208.24063110351562, 745.9010620117188], [1880.775390625, 380.6050720214844, 1918.4324951171875, 577.284423828125]]","[0.8037109375, 0.6279296875, 0.75732421875, 0.67041015625, 0.55224609375, 0.5869140625, 0.384765625]","[[1770.4002075195312, 730.9639282226562], [1326.3365478515625, 657.159423828125], [63.212349593639374, 909.2619018554688], [310.46295166015625, 707.746826171875], [1289.3870849609375, 658.8495483398438], [163.4241600036621, 745.9010620117188], [1899.6039428710938, 577.284423828125]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
5,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.6705322265625, 386.0435485839844, 1852.5107421875, 733.1376342773438], [1295.978271484375, 459.6439208984375, 1360.0693359375, 656.96044921875], [3.9739279747009277, 251.32730102539062, 132.7841033935547, 908.8175048828125], [261.31842041015625, 458.44488525390625, 358.3731384277344, 709.0084838867188], [1261.3892822265625, 541.6738891601562, 1321.3807373046875, 659.7752685546875], [119.29769134521484, 506.5819091796875, 208.28973388671875, 746.2149047851562], [1879.9930419921875, 371.9327087402344, 1919.000244140625, 575.2536010742188]]","[0.79150390625, 0.59814453125, 0.7783203125, 0.6328125, 0.5390625, 0.47802734375, 0.436767578125]","[[1769.5906372070312, 733.1376342773438], [1328.0238037109375, 656.96044921875], [68.37901568412781, 908.8175048828125], [309.8457794189453, 709.0084838867188], [1291.385009765625, 659.7752685546875], [163.7937126159668, 746.2149047851562], [1899.4966430664062, 575.2536010742188]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
6,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.5001220703125, 383.946044921875, 1851.9461669921875, 736.2207641601562], [1299.654052734375, 460.5614318847656, 1363.4158935546875, 657.2207641601562], [5.6799492835998535, 239.71971130371094, 137.0423583984375, 906.6141967773438], [262.20709228515625, 456.8775634765625, 359.3479919433594, 708.1948852539062], [1264.214111328125, 540.7337646484375, 1323.3466796875, 658.8681640625], [119.49457550048828, 507.47955322265625, 207.93690490722656, 746.0093994140625], [1879.54248046875, 370.29644775390625, 1919.4052734375, 577.7758178710938]]","[0.7890625, 0.57080078125, 0.80517578125, 0.64111328125, 0.57861328125, 0.51220703125, 0.449951171875]","[[1768.22314453125, 736.2207641601562], [1331.5349731445312, 657.2207641601562], [71.36115384101868, 906.6141967773438], [310.7775421142578, 708.1948852539062], [1293.7803955078125, 658.8681640625], [163.71574020385742, 746.0093994140625], [1899.473876953125, 577.7758178710938]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
7,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.3804931640625, 385.07867431640625, 1852.56884765625, 738.8446044921875], [1301.86572265625, 463.2102355957031, 1364.69580078125, 657.3319702148438], [7.5462775230407715, 234.4595184326172, 140.7920379638672, 905.6204833984375], [266.35540771484375, 457.15667724609375, 362.479248046875, 706.9925537109375], [1267.92578125, 540.0743408203125, 1327.0037841796875, 659.9968872070312], [119.38357543945312, 513.0223388671875, 204.78697204589844, 744.169189453125], [1876.538818359375, 364.51080322265625, 1918.4466552734375, 581.7848510742188]]","[0.81005859375, 0.486572265625, 0.8232421875, 0.6708984375, 0.5791015625, 0.416259765625, 0.56591796875]","[[1768.9746704101562, 738.8446044921875], [1333.28076171875, 657.3319702148438], [74.16915774345398, 905.6204833984375], [314.4173278808594, 706.9925537109375], [1297.4647827148438, 659.9968872070312], [162.08527374267578, 744.169189453125], [1897.4927368164062, 581.7848510742188]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
8,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.2227783203125, 386.0649108886719, 1852.4197998046875, 740.2980346679688], [1304.55517578125, 461.5220031738281, 1367.7178955078125, 656.5164184570312], [8.827802658081055, 232.17430114746094, 143.940673828125, 906.5157470703125], [270.117919921875, 457.8106689453125, 364.6933898925781, 705.9613647460938], [1270.7684326171875, 540.6791381835938, 1328.9229736328125, 660.6760864257812], [117.31816101074219, 511.4366149902344, 203.5194091796875, 745.8450317382812], [1875.29833984375, 363.0464782714844, 1918.236572265625, 584.8871459960938]]","[0.8076171875, 0.5498046875, 0.80712890625, 0.638671875, 0.410888671875, 0.3740234375, 0.55078125]","[[1769.3212890625, 740.2980346679688], [1336.1365356445312, 656.5164184570312], [76.38423824310303, 906.5157470703125], [317.40565490722656, 705.9613647460938], [1299.845703125, 660.6760864257812], [160.41878509521484, 745.8450317382812], [1896.7674560546875, 584.8871459960938]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
9,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.8665771484375, 385.5710144042969, 1852.1304931640625, 740.4730224609375], [1306.754150390625, 458.61114501953125, 1371.9774169921875, 658.5128784179688], [10.96843433380127, 229.0176544189453, 148.50718688964844, 906.58544921875], [275.96051025390625, 456.8863525390625, 368.5838623046875, 704.43994140625], [1272.9647216796875, 539.7536010742188, 1330.5479736328125, 660.9091796875], [115.81658935546875, 510.2607727050781, 202.32347106933594, 747.0049438476562], [1873.700927734375, 359.50665283203125, 1919.3228759765625, 595.7777099609375]]","[0.82177734375, 0.60791015625, 0.8359375, 0.59521484375, 0.419677734375, 0.391357421875, 0.5751953125]","[[1769.49853515625, 740.4730224609375], [1339.3657836914062, 658.5128784179688], [79.73781061172485, 906.58544921875], [322.2721862792969, 704.43994140625], [1301.75634765625, 660.9091796875], [159.07003021240234, 747.0049438476562], [1896.5119018554688, 595.7777099609375]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
10,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.0201416015625, 388.606201171875, 1845.9517822265625, 743.978759765625], [1311.84619140625, 458.1000061035156, 1378.0484619140625, 658.6895141601562], [13.502388000488281, 230.12356567382812, 153.12171936035156, 907.1693725585938], [275.78948974609375, 455.4002990722656, 367.6280822753906, 705.0191650390625], [1275.254150390625, 540.8037109375, 1331.736328125, 661.8202514648438], [115.34115600585938, 506.9656677246094, 202.71131896972656, 747.9886474609375], [1870.9539794921875, 366.7172546386719, 1917.603515625, 607.519287109375]]","[0.66259765625, 0.62353515625, 0.845703125, 0.521484375, 0.381591796875, 0.381591796875, 0.5576171875]","[[1763.9859619140625, 743.978759765625], [1344.9473266601562, 658.6895141601562], [83.31205368041992, 907.1693725585938], [321.7087860107422, 705.0191650390625], [1303.4952392578125, 661.8202514648438], [159.02623748779297, 747.9886474609375], [1894.2787475585938, 607.519287109375]]",425345024,410910720,425345024,576,yolo26m_int8_576_ncnn_model,MOT17-09
