frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1701.75, 396.375, 1856.25, 722.625], [1289.25, 462.375, 1352.25, 656.625], [4.125, 340.3125, 120.1875, 897.1875], [1254.375, 543.0, 1313.625, 655.5], [1887.0, 391.125, 1920.0, 568.875], [254.90625, 465.375, 350.34375, 704.625], [265.03125, 459.75, 331.96875, 578.25]]","[0.77734375, 0.6494140625, 0.6328125, 0.4580078125, 0.440673828125, 0.365234375, 0.255126953125]","[[1779.0, 722.625], [1320.75, 656.625], [62.15625, 897.1875], [1284.0, 655.5], [1903.5, 568.875], [302.625, 704.625], [298.5, 578.25]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
2,,,6,"[1, 2, 3, 4, 5, 6]","[[1692.8563232421875, 395.3987731933594, 1849.5238037109375, 726.2045288085938], [1293.63623046875, 460.4225158691406, 1356.975341796875, 655.9741821289062], [3.02252197265625, 337.5464782714844, 118.84938049316406, 893.4452514648438], [1254.6593017578125, 538.4442138671875, 1317.24560546875, 657.4524536132812], [1884.8714599609375, 390.47418212890625, 1919.525146484375, 577.3357543945312], [257.3731384277344, 461.1446228027344, 355.03594970703125, 706.2520751953125]]","[0.798828125, 0.63427734375, 0.7490234375, 0.57275390625, 0.377685546875, 0.40966796875]","[[1771.1900634765625, 726.2045288085938], [1325.3057861328125, 655.9741821289062], [60.935951232910156, 893.4452514648438], [1285.9524536132812, 657.4524536132812], [1902.1983032226562, 577.3357543945312], [306.2045440673828, 706.2520751953125]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
3,,,6,"[1, 2, 3, 4, 5, 6]","[[1686.796875, 393.4874267578125, 1845.927001953125, 729.7252807617188], [1293.7396240234375, 460.3792419433594, 1358.4342041015625, 660.2352294921875], [3.6419734954833984, 328.00384521484375, 121.17634582519531, 892.5119018554688], [1256.11474609375, 540.7955322265625, 1317.606689453125, 658.0753784179688], [1884.302490234375, 386.9281921386719, 1919.6446533203125, 577.65234375], [260.5254821777344, 462.1532287597656, 358.0335388183594, 707.1105346679688]]","[0.662109375, 0.6181640625, 0.75634765625, 0.52490234375, 0.449462890625, 0.3994140625]","[[1766.3619384765625, 729.7252807617188], [1326.0869140625, 660.2352294921875], [62.409159660339355, 892.5119018554688], [1286.8607177734375, 658.0753784179688], [1901.9735717773438, 577.65234375], [309.2795104980469, 707.1105346679688]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
4,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.1934814453125, 388.080810546875, 1847.720947265625, 738.9974975585938], [1296.337890625, 458.9853515625, 1360.699951171875, 658.4892578125], [4.449651718139648, 307.7315979003906, 126.51782989501953, 893.7024536132812], [1258.4083251953125, 541.6867065429688, 1319.2589111328125, 658.239013671875], [1884.1182861328125, 385.47784423828125, 1919.7298583984375, 577.8733520507812], [263.96771240234375, 460.2814636230469, 361.28204345703125, 706.2149047851562], [273.382080078125, 459.75, 340.08880615234375, 578.25]]","[0.68115234375, 0.58251953125, 0.8037109375, 0.51318359375, 0.38671875, 0.43017578125, 0.265625]","[[1764.9572143554688, 738.9974975585938], [1328.5189208984375, 658.4892578125], [65.48374080657959, 893.7024536132812], [1288.8336181640625, 658.239013671875], [1901.924072265625, 577.8733520507812], [312.6248779296875, 706.2149047851562], [306.7354431152344, 578.25]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
5,,,6,"[1, 2, 3, 4, 5, 6]","[[1680.0565185546875, 384.72900390625, 1851.3760986328125, 750.0341186523438], [1298.4979248046875, 459.09423828125, 1362.226806640625, 657.252197265625], [2.6736841201782227, 263.70916748046875, 135.20016479492188, 900.3574829101562], [1261.31640625, 545.8257446289062, 1318.6441650390625, 656.6024780273438], [1883.822509765625, 382.90496826171875, 1920.0, 578.9556274414062], [264.439453125, 462.44158935546875, 360.56597900390625, 706.4440307617188]]","[0.625, 0.62646484375, 0.85595703125, 0.4111328125, 0.487548828125, 0.48486328125]","[[1765.71630859375, 750.0341186523438], [1330.3623657226562, 657.252197265625], [68.93692445755005, 900.3574829101562], [1289.9802856445312, 656.6024780273438], [1901.9112548828125, 578.9556274414062], [312.5027160644531, 706.4440307617188]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
6,,,6,"[1, 2, 3, 4, 5, 6]","[[1685.18359375, 387.296142578125, 1851.177001953125, 741.775634765625], [1298.630859375, 453.5272521972656, 1364.2550048828125, 658.152587890625], [4.405015468597412, 245.8408660888672, 141.79156494140625, 904.4674072265625], [1263.9957275390625, 551.2996826171875, 1318.78369140625, 658.5025024414062], [1881.2257080078125, 378.40142822265625, 1918.4244384765625, 579.8097534179688], [265.7209167480469, 458.3728332519531, 362.1795654296875, 704.904541015625]]","[0.7216796875, 0.640625, 0.869140625, 0.398193359375, 0.482177734375, 0.4921875]","[[1768.1802978515625, 741.775634765625], [1331.4429321289062, 658.152587890625], [73.09829020500183, 904.4674072265625], [1291.3897094726562, 658.5025024414062], [1899.8250732421875, 579.8097534179688], [313.9502410888672, 704.904541015625]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
7,,,7,"[1, 2, 3, 4, 5, 6, 12]","[[1685.50244140625, 389.75042724609375, 1848.7392578125, 739.047607421875], [1301.654541015625, 456.7945861816406, 1366.0050048828125, 658.4612426757812], [5.888440132141113, 235.63809204101562, 143.91683959960938, 897.25244140625], [1267.2088623046875, 553.833740234375, 1320.70263671875, 660.4793701171875], [1877.090087890625, 366.86151123046875, 1916.9676513671875, 581.869384765625], [270.1903381347656, 457.4930725097656, 365.36474609375, 703.8473510742188], [120.08306121826172, 535.7249755859375, 196.7919464111328, 742.2750244140625]]","[0.76806640625, 0.61767578125, 0.8798828125, 0.319091796875, 0.5244140625, 0.480224609375, 0.345458984375]","[[1767.120849609375, 739.047607421875], [1333.8297729492188, 658.4612426757812], [74.90263986587524, 897.25244140625], [1293.9557495117188, 660.4793701171875], [1897.0288696289062, 581.869384765625], [317.7775421142578, 703.8473510742188], [158.43750381469727, 742.2750244140625]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
8,,,6,"[1, 2, 3, 5, 6, 12]","[[1684.53125, 391.72711181640625, 1846.959716796875, 741.0368041992188], [1303.0750732421875, 451.12359619140625, 1369.279052734375, 658.3040161132812], [7.331118583679199, 232.36045837402344, 146.55714416503906, 896.7684326171875], [1875.6214599609375, 366.16363525390625, 1916.4176025390625, 585.0747680664062], [274.8888244628906, 457.47735595703125, 368.1703796386719, 703.2213134765625], [116.98847198486328, 515.4776000976562, 203.37745666503906, 748.5586547851562]]","[0.75341796875, 0.650390625, 0.88037109375, 0.52978515625, 0.45458984375, 0.38671875]","[[1765.7454833984375, 741.0368041992188], [1336.1770629882812, 658.3040161132812], [76.94413137435913, 896.7684326171875], [1896.01953125, 585.0747680664062], [321.52960205078125, 703.2213134765625], [160.18296432495117, 748.5586547851562]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
9,,,7,"[1, 2, 3, 5, 6, 12, 4]","[[1682.9453125, 391.70916748046875, 1845.5821533203125, 744.4736938476562], [1307.147216796875, 447.0950012207031, 1374.8536376953125, 658.2402954101562], [9.149345397949219, 228.2538604736328, 150.64186096191406, 898.1860961914062], [1874.59765625, 365.60595703125, 1916.7537841796875, 590.731689453125], [279.3549499511719, 457.256103515625, 370.3381042480469, 702.2457275390625], [115.43820190429688, 505.34942626953125, 204.87490844726562, 747.3955078125], [1269.5137939453125, 542.3162231445312, 1327.721435546875, 661.4137573242188]]","[0.7451171875, 0.60205078125, 0.88427734375, 0.5751953125, 0.4052734375, 0.44287109375, 0.4580078125]","[[1764.2637329101562, 744.4736938476562], [1341.0004272460938, 658.2402954101562], [79.89560317993164, 898.1860961914062], [1895.6757202148438, 590.731689453125], [324.8465270996094, 702.2457275390625], [160.15655517578125, 747.3955078125], [1298.6176147460938, 661.4137573242188]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
10,,,6,"[1, 2, 3, 5, 6, 4]","[[1678.9786376953125, 393.4794616699219, 1838.4600830078125, 742.8869018554688], [1311.7664794921875, 446.6452941894531, 1379.70361328125, 657.2103271484375], [14.188406944274902, 227.56097412109375, 157.4639129638672, 894.4823608398438], [1873.468017578125, 372.6446838378906, 1915.727783203125, 595.53857421875], [281.5551452636719, 454.16143798828125, 370.621826171875, 699.877197265625], [1272.3961181640625, 541.4476928710938, 1330.4910888671875, 662.9195556640625]]","[0.7080078125, 0.54833984375, 0.87841796875, 0.62109375, 0.396240234375, 0.4453125]","[[1758.7193603515625, 742.8869018554688], [1345.7350463867188, 657.2103271484375], [85.82615995407104, 894.4823608398438], [1894.597900390625, 595.53857421875], [326.08848571777344, 699.877197265625], [1301.443603515625, 662.9195556640625]]",425394176,410927104,425394176,640,yolo26s_int8_640_ncnn_model,MOT17-09
